accident_id,city,state,latitude,longitude,date,time,hour,day_of_week,is_weekend,road_type,lanes,traffic_signal,weather,visibility,temperature,traffic_density,cause,accident_severity,vehicles_involved,casualties,is_peak_hour,festival,risk_score
4,Chennai,Tamil Nadu,12.965155,80.283313,2024-01-25,16:00,16,Thursday,0,highway,3,1,clear,high,24,low,distraction,minor,2,1,0,,0.1
17,Chennai,Tamil Nadu,13.161404,80.197819,2023-09-26,21:00,21,Tuesday,0,urban,1,1,fog,low,30,medium,distraction,fatal,5,5,0,,0.65
23,Chennai,Tamil Nadu,12.98416,80.153974,2023-07-26,23:00,23,Wednesday,0,urban,2,0,clear,high,36,medium,distraction,minor,3,2,0,,0.1
26,Chennai,Tamil Nadu,12.964354,80.262971,2024-10-11,13:00,13,Friday,0,urban,6,0,clear,high,39,high,weather,major,1,1,0,,0.3
27,Chennai,Tamil Nadu,13.171632,80.200311,2023-09-05,5:00,5,Tuesday,0,highway,4,1,rain,medium,29,high,weather,minor,1,1,0,,0.45
37,Chennai,Tamil Nadu,12.941766,80.271836,2023-02-19,18:00,18,Sunday,1,highway,5,1,clear,high,32,low,weather,fatal,4,4,1,,0.45
43,Chennai,Tamil Nadu,13.174093,80.150346,2025-01-13,13:00,13,Monday,0,highway,2,1,clear,high,20,low,weather,minor,1,1,0,,0.1
58,Chennai,Tamil Nadu,12.959773,80.153419,2022-06-28,2:00,2,Tuesday,0,urban,1,0,clear,high,31,low,overspeeding,minor,1,0,0,,0.1
59,Chennai,Tamil Nadu,12.985135,80.226248,2025-03-28,23:00,23,Friday,0,rural,2,0,rain,low,25,high,overspeeding,fatal,4,4,0,,0.85
62,Chennai,Tamil Nadu,12.852053,80.121615,2023-05-13,14:00,14,Saturday,1,urban,6,1,rain,medium,27,high,distraction,major,3,1,0,,0.45
63,Chennai,Tamil Nadu,13.017299,80.224813,2024-04-02,0:00,0,Tuesday,0,rural,3,0,fog,low,26,low,overspeeding,major,4,1,0,,0.45
65,Chennai,Tamil Nadu,12.97141,80.197487,2023-12-11,7:00,7,Monday,0,rural,4,1,rain,medium,18,high,drunk driving,major,1,0,0,,0.45
78,Chennai,Tamil Nadu,12.919435,80.207627,2023-03-28,15:00,15,Tuesday,0,urban,2,1,fog,low,27,high,poor road,fatal,5,5,0,,0.85
86,Chennai,Tamil Nadu,12.93952,80.153093,2023-12-07,14:00,14,Thursday,0,rural,2,1,rain,low,25,medium,overspeeding,minor,5,1,0,,0.45
100,Chennai,Tamil Nadu,12.810721,80.19735,2023-08-05,18:00,18,Saturday,1,urban,2,1,fog,low,36,high,poor road,minor,4,2,1,,0.8
108,Chennai,Tamil Nadu,13.10543,80.11737,2023-12-20,4:00,4,Wednesday,0,rural,6,0,clear,high,29,medium,weather,minor,2,1,0,,0.1
112,Chennai,Tamil Nadu,12.812744,80.226751,2022-09-07,20:00,20,Wednesday,0,highway,2,0,fog,low,17,low,drunk driving,major,5,2,0,,0.45
113,Chennai,Tamil Nadu,13.126298,80.273119,2024-07-07,9:00,9,Sunday,1,highway,6,1,clear,high,34,medium,overspeeding,major,4,1,1,,0.25
116,Chennai,Tamil Nadu,12.829772,80.266893,2023-11-23,5:00,5,Thursday,0,rural,3,0,rain,low,24,high,overspeeding,minor,2,1,0,,0.65
124,Chennai,Tamil Nadu,12.917829,80.107956,2022-09-09,0:00,0,Friday,0,highway,6,0,rain,medium,40,high,overspeeding,major,2,0,0,,0.45
126,Chennai,Tamil Nadu,13.023148,80.267046,2023-10-24,22:00,22,Tuesday,0,rural,4,0,clear,high,36,low,distraction,major,3,3,0,,0.1
136,Chennai,Tamil Nadu,12.910539,80.183088,2023-07-08,12:00,12,Saturday,1,highway,5,1,clear,high,28,high,poor road,minor,3,2,0,,0.3
140,Chennai,Tamil Nadu,13.099257,80.226182,2024-09-21,8:00,8,Saturday,1,urban,4,0,rain,low,32,high,poor road,major,1,0,1,,0.8
146,Chennai,Tamil Nadu,13.145041,80.133716,2022-05-06,7:00,7,Friday,0,highway,5,0,fog,low,15,high,weather,major,1,0,0,,0.65
156,Chennai,Tamil Nadu,13.196352,80.138535,2023-02-04,7:00,7,Saturday,1,urban,5,0,fog,low,32,medium,drunk driving,minor,1,1,0,,0.45
157,Chennai,Tamil Nadu,13.152998,80.258685,2024-09-15,22:00,22,Sunday,1,rural,1,0,fog,low,19,high,distraction,major,4,2,0,,0.65
163,Chennai,Tamil Nadu,12.921984,80.115306,2023-03-24,18:00,18,Friday,0,rural,5,1,clear,high,21,medium,poor road,major,5,5,1,,0.25
164,Chennai,Tamil Nadu,12.841819,80.258805,2022-05-06,0:00,0,Friday,0,rural,2,1,rain,low,37,low,drunk driving,minor,4,0,0,,0.45
168,Chennai,Tamil Nadu,12.891896,80.227598,2022-01-21,18:00,18,Friday,0,urban,3,1,clear,high,29,high,poor road,minor,2,1,1,,0.45
170,Chennai,Tamil Nadu,13.057219,80.184551,2022-09-18,6:00,6,Sunday,1,highway,6,1,rain,low,38,medium,drunk driving,fatal,4,4,0,,0.65
202,Chennai,Tamil Nadu,12.894547,80.239536,2025-03-03,3:00,3,Monday,0,highway,6,0,clear,high,22,medium,poor road,minor,2,1,0,,0.1
211,Chennai,Tamil Nadu,12.942775,80.266239,2023-09-11,0:00,0,Monday,0,highway,3,0,fog,low,24,low,distraction,minor,3,2,0,,0.45
214,Chennai,Tamil Nadu,12.861288,80.167097,2022-01-18,2:00,2,Tuesday,0,highway,1,1,rain,low,29,medium,poor road,minor,5,5,0,,0.45
222,Chennai,Tamil Nadu,13.059482,80.132694,2022-12-30,19:00,19,Friday,0,highway,4,0,fog,low,29,high,weather,major,5,4,1,,0.8
226,Chennai,Tamil Nadu,12.931329,80.177908,2024-09-28,22:00,22,Saturday,1,highway,4,1,rain,medium,26,medium,weather,minor,2,0,0,,0.25
227,Chennai,Tamil Nadu,12.931505,80.204867,2023-05-01,18:00,18,Monday,0,rural,2,1,rain,low,28,medium,drunk driving,major,3,2,1,,0.6
228,Chennai,Tamil Nadu,12.826312,80.207278,2022-01-14,3:00,3,Friday,0,urban,6,0,clear,high,35,medium,drunk driving,minor,3,1,0,,0.1
233,Chennai,Tamil Nadu,13.101426,80.265354,2022-11-27,9:00,9,Sunday,1,urban,1,1,rain,low,23,medium,poor road,minor,3,2,1,,0.6
235,Chennai,Tamil Nadu,13.104646,80.294344,2024-05-23,7:00,7,Thursday,0,urban,3,0,fog,low,16,high,drunk driving,major,3,2,0,,0.65
245,Chennai,Tamil Nadu,12.979934,80.258425,2022-06-29,16:00,16,Wednesday,0,rural,3,0,fog,low,28,medium,overspeeding,major,4,2,0,,0.45
252,Chennai,Tamil Nadu,13.07404,80.152144,2022-12-30,20:00,20,Friday,0,rural,3,0,clear,high,28,medium,drunk driving,minor,2,1,0,,0.1
256,Chennai,Tamil Nadu,12.911957,80.196891,2023-05-21,18:00,18,Sunday,1,urban,5,0,rain,medium,40,low,drunk driving,minor,1,1,1,,0.4
266,Chennai,Tamil Nadu,12.968853,80.196115,2024-10-15,1:00,1,Tuesday,0,urban,3,0,fog,low,30,low,poor road,major,3,3,0,,0.45
272,Chennai,Tamil Nadu,13.032356,80.200645,2022-06-01,13:00,13,Wednesday,0,urban,4,0,clear,high,24,low,drunk driving,minor,4,2,0,,0.1
275,Chennai,Tamil Nadu,12.865666,80.225481,2023-12-06,2:00,2,Wednesday,0,rural,1,1,rain,low,30,low,weather,minor,5,3,0,,0.45
276,Chennai,Tamil Nadu,13.125687,80.288644,2022-04-07,14:00,14,Thursday,0,urban,5,0,fog,low,19,high,weather,major,1,0,0,,0.65
293,Chennai,Tamil Nadu,13.030792,80.290558,2023-08-10,9:00,9,Thursday,0,rural,1,0,fog,low,27,medium,distraction,minor,1,0,1,,0.6
304,Chennai,Tamil Nadu,13.158922,80.282375,2022-11-14,9:00,9,Monday,0,urban,3,1,clear,high,25,high,weather,major,1,1,1,,0.45
313,Chennai,Tamil Nadu,13.087316,80.226797,2022-04-26,6:00,6,Tuesday,0,urban,4,1,fog,low,39,medium,poor road,major,1,0,0,,0.45
319,Chennai,Tamil Nadu,12.934717,80.259504,2022-10-04,2:00,2,Tuesday,0,highway,5,1,clear,high,19,high,overspeeding,major,3,3,0,,0.3
324,Chennai,Tamil Nadu,12.865026,80.224187,2025-04-10,21:00,21,Thursday,0,rural,3,1,clear,high,17,low,weather,minor,1,0,0,,0.1
326,Chennai,Tamil Nadu,12.979773,80.125904,2024-11-01,15:00,15,Friday,0,urban,5,1,fog,low,32,low,weather,minor,1,1,0,Diwali,0.55
348,Chennai,Tamil Nadu,12.880956,80.246202,2025-03-21,19:00,19,Friday,0,urban,4,0,fog,low,26,medium,weather,fatal,1,1,1,,0.8
354,Chennai,Tamil Nadu,12.952895,80.171875,2025-01-17,19:00,19,Friday,0,rural,1,1,rain,medium,22,medium,distraction,minor,5,3,1,,0.4
361,Chennai,Tamil Nadu,12.987532,80.20733,2023-09-26,7:00,7,Tuesday,0,highway,3,1,rain,medium,28,high,poor road,major,1,1,0,,0.45
362,Chennai,Tamil Nadu,13.147207,80.153679,2023-03-13,6:00,6,Monday,0,highway,1,1,rain,medium,23,high,weather,minor,4,0,0,,0.45
365,Chennai,Tamil Nadu,13.114273,80.249777,2022-08-28,20:00,20,Sunday,1,urban,5,0,clear,high,40,low,overspeeding,major,3,1,0,,0.1
