cell_id,zone_id,zone_name,latitude,longitude,population,rainfall_mm_day,flood_index,flood_severity,affected_rate,affected_population,evacuation_priority
Z01-001,Z01,North Chennai,13.131165116220927,80.29161443366436,9155,15.7,1.876,Severe,0.03342298469463004,306,1-Critical
Z01-002,Z01,North Chennai,13.121260752414887,80.26856777868123,10268,16.0,2.048,Severe,0.04546196772956664,467,1-Critical
Z01-003,Z01,North Chennai,13.11430835813396,80.26592525982855,11324,9.1,1.009,High,0.023841354287153473,270,3-Medium
Z01-004,Z01,North Chennai,13.089424381420947,80.25433980163083,9211,11.1,1.437,Severe,0.03682184552287942,339,2-High
Z01-005,Z01,North Chennai,13.106549742940668,80.31012822083753,9131,10.4,1.07,High,0.029129179367622455,266,3-Medium
Z01-006,Z01,North Chennai,13.141832130576132,80.28287199585522,9357,10.0,1.056,High,0.03613684059311645,338,3-Medium
Z01-007,Z01,North Chennai,13.125134717980545,80.2841437451941,10925,3.3,0.373,Low,0.02012286845568088,220,4-Low
Z01-008,Z01,North Chennai,13.10276844206978,80.289019769269,10793,11.1,1.454,Severe,0.03816163455133329,412,2-High
Z01-009,Z01,North Chennai,13.094949312376233,80.28035318094969,6709,2.7,0.327,Low,0.01815159530396056,122,4-Low
Z01-010,Z01,North Chennai,13.117294328101817,80.26520654918762,9981,9.5,1.235,High,0.04118569129593316,411,2-High
Z01-011,Z01,North Chennai,13.110713309795347,80.31904479706029,7560,2.8,0.364,Low,0.01909975974362403,144,4-Low
Z01-012,Z01,North Chennai,13.081660140734021,80.28939819927011,9758,3.5,0.461,Low,0.026758955934721797,261,4-Low
Z01-013,Z01,North Chennai,13.180101726363791,80.2858805014905,8958,11.2,1.387,Severe,0.036995087527522445,331,2-High
Z01-014,Z01,North Chennai,13.06052099592834,80.29063124793474,7456,2.6,0.327,Low,0.01315518573287183,98,4-Low
Z01-015,Z01,North Chennai,13.129588999562577,80.29168535006629,11724,15.6,1.952,Severe,0.04202481836719371,493,1-Critical
Z01-016,Z01,North Chennai,13.149229733944924,80.3229254561897,14272,2.8,0.295,Low,0.013963392112593074,199,4-Low
Z01-017,Z01,North Chennai,13.117640776520245,80.28118299774061,14274,10.9,1.188,High,0.026849582880976205,383,2-High
Z01-018,Z01,North Chennai,13.132456324448885,80.27788352546584,9874,2.4,0.243,Low,0.021397032671455395,211,4-Low
Z01-019,Z01,North Chennai,13.095632548519708,80.27064164788224,10750,8.9,0.913,Moderate,0.02999490163583982,322,3-Medium
Z01-020,Z01,North Chennai,13.088160908217002,80.26690908691556,9065,9.3,0.921,Moderate,0.03006707036609156,273,3-Medium
Z01-021,Z01,North Chennai,13.102116056516493,80.26443094950157,11203,8.8,1.038,High,0.036954983046872586,414,3-Medium
Z01-022,Z01,North Chennai,13.091451948179524,80.30639781398807,10602,11.7,1.257,High,0.03354445810552196,356,2-High
Z01-023,Z01,North Chennai,13.152831369482742,80.31669698940621,11007,8.4,1.1,High,0.03255892247165425,358,3-Medium
Z01-024,Z01,North Chennai,13.0828369175966,80.27364492355285,9731,10.9,1.312,High,0.03594778861433988,350,2-High
Z01-025,Z01,North Chennai,13.104146652718505,80.3076199600568,8944,10.8,1.209,High,0.02627989558748193,235,2-High
Z01-026,Z01,North Chennai,13.1516396136242,80.2433238559328,10099,9.9,1.05,High,0.029983679407095044,303,3-Medium
Z01-027,Z01,North Chennai,13.098905710895249,80.30494774360862,12101,9.1,1.12,High,0.028422729755459647,344,3-Medium
Z01-028,Z01,North Chennai,13.10368973449099,80.28244614693386,10083,3.0,0.312,Low,0.015200671678044717,153,4-Low
Z01-029,Z01,North Chennai,13.111172056435036,80.31534593310002,10989,3.5,0.45,Low,0.02293170349568804,252,4-Low
Z01-030,Z01,North Chennai,13.147372599629632,80.26816936127437,6955,9.3,0.94,Moderate,0.02750040703247609,191,3-Medium
Z01-031,Z01,North Chennai,13.135417815547434,80.27413550948143,9566,9.4,1.005,High,0.020140510673321482,193,3-Medium
