road_id,from_zone,to_zone,from_lat,from_lon,to_lat,to_lon,distance_km,lanes,traffic_density,source_risk_score,road_status,water_depth_m,travel_time_min
R0001,Z05,Z01,12.996411,80.115814,13.128612,80.230974,8.0,2,medium,0.45,Open,0.07,20.0
R0002,Z01,Z04,13.149476,80.247158,12.867412,80.276954,8.0,3,medium,0.65,Open,0.1,22.0
R0003,Z03,Z03,12.995462,80.268444,13.026355,80.287258,4.9,3,high,0.1,Open,0.04,15.0
R0004,Z04,Z04,12.92935,80.201991,12.90234,80.177051,4.89,2,high,0.6,Open,0.09,15.0
R0005,Z05,Z04,13.06505,80.182482,12.829092,80.111005,8.0,2,medium,0.65,Open,0.06,20.0
R0006,Z05,Z05,13.047683,80.153537,13.049995,80.128536,3.17,2,low,0.4,Open,0.03,7.0
R0007,Z05,Z05,13.137303,80.112927,13.086327,80.149168,8.0,3,high,0.1,Open,0.12,26.0
R0008,Z04,Z05,12.845869,80.164399,12.967919,80.148835,8.0,1,high,0.8,Open,0.09,24.0
R0009,Z04,Z01,12.928114,80.28121,13.197436,80.237455,8.0,3,medium,0.45,Open,0.08,22.0
R0010,Z03,Z03,12.985624,80.296864,13.010989,80.231369,8.0,2,low,0.3,Open,0.1,17.0
R0011,Z01,Z01,13.177969,80.157725,13.167099,80.128024,4.04,4,low,0.6,Open,0.05,9.0
R0012,Z01,Z04,13.121918,80.212704,12.854975,80.142989,8.0,2,high,0.45,Open,0.0,26.0
R0013,Z04,Z04,12.918477,80.208836,12.905437,80.180288,4.03,4,low,0.1,Open,0.07,8.0
R0014,Z01,Z04,13.134177,80.290553,12.905437,80.180288,8.0,4,medium,0.65,Open,0.01,23.0
R0015,Z05,Z05,12.984628,80.119289,13.081975,80.182263,8.0,4,low,0.1,Open,0.1,18.0
R0016,Z05,Z03,12.965027,80.149211,12.990992,80.266618,8.0,2,low,0.45,Open,0.12,14.0
R0017,Z01,Z04,13.183409,80.257544,12.910225,80.265923,8.0,4,medium,0.45,Open,0.0,21.0
R0018,Z04,Z04,12.905437,80.180288,12.953783,80.201916,7.24,4,medium,0.65,Open,0.07,20.0
R0019,Z04,Z03,12.800331,80.172707,12.953116,80.278683,8.0,6,medium,0.45,Open,0.08,23.0
R0020,Z04,Z01,12.839494,80.177933,13.178615,80.135975,8.0,4,low,0.45,Open,0.08,19.0
R0021,Z04,Z02,12.916615,80.103924,13.092675,80.222162,8.0,2,medium,0.45,Open,0.05,18.0
