shelter_id,zone_id,zone_name,latitude,longitude,capacity,occupancy,available_slots,food_packets,water_litres,medical_support
S001,Z05,South-West Chennai,12.999342,80.167234,1711,1195,516,1374,4859,Yes
S002,Z04,Velachery,12.973965,80.233593,1544,727,817,1478,4172,Yes
S003,Z05,South-West Chennai,13.004402,80.157349,1353,409,944,1150,4657,Yes
S004,Z03,Adyar,13.005767,80.245792,2232,1637,595,1802,4276,Yes
S005,Z02,Central Chennai,13.073142,80.292087,1542,717,825,1756,2771,Yes
S006,Z04,Velachery,12.967982,80.251841,1592,501,1091,1630,5419,No
S007,Z04,Velachery,12.989983,80.207541,1244,918,326,1491,4171,No
S008,Z02,Central Chennai,13.083751,80.293213,633,433,200,628,1342,Yes
S009,Z05,South-West Chennai,13.022055,80.196816,1275,757,518,1179,3198,No
S010,Z04,Velachery,12.942746,80.242979,533,264,269,580,1302,No
S011,Z03,Adyar,13.030441,80.25344,2037,623,1414,2071,4266,Yes
S012,Z04,Velachery,12.989209,80.189374,2280,755,1525,2043,3917,Yes
S013,Z04,Velachery,12.980952,80.177769,1175,592,583,1034,2698,No
S014,Z04,Velachery,12.989983,80.207541,1256,980,276,1340,2967,Yes
S015,Z02,Central Chennai,13.086615,80.274982,1408,747,661,1423,4638,No
S016,Z05,South-West Chennai,13.005403,80.215084,1332,858,474,1295,3443,Yes
S017,Z02,Central Chennai,13.077607,80.29223,2068,813,1255,2436,3633,No
S018,Z03,Adyar,13.009206,80.264585,1999,1594,405,2160,4312,Yes
S019,Z04,Velachery,12.99814,80.191013,1091,321,770,1171,3539,Yes
S020,Z01,North Chennai,13.08179,80.273494,2194,1554,640,2198,6105,No
S021,Z01,North Chennai,13.139444,80.3351,1210,926,284,1065,2925,Yes
S022,Z02,Central Chennai,13.062728,80.259358,1123,535,588,1133,1903,Yes
S023,Z02,Central Chennai,13.08857,80.308703,310,233,77,261,870,Yes
S024,Z03,Adyar,13.044708,80.268007,741,252,489,740,2301,Yes
S025,Z04,Velachery,12.99022,80.270095,2071,1569,502,2023,4931,No
S026,Z03,Adyar,13.01638,80.254697,1571,631,940,1579,4865,No
S027,Z01,North Chennai,13.138534,80.280531,901,246,655,1010,1517,Yes
S028,Z02,Central Chennai,13.078315,80.299157,2229,845,1384,2477,7142,Yes
S029,Z05,South-West Chennai,13.019505,80.187162,1388,863,525,1229,2978,Yes
S030,Z04,Velachery,12.961789,80.18862,2408,1447,961,2680,5794,No
S031,Z01,North Chennai,13.139444,80.3351,2362,970,1392,2707,6585,Yes
S032,Z02,Central Chennai,13.069814,80.282144,336,254,82,341,1098,Yes
S033,Z04,Velachery,12.942746,80.242979,2162,1089,1073,2112,4793,Yes
S034,Z04,Velachery,12.987962,80.202231,457,230,227,442,873,No
S035,Z04,Velachery,12.972409,80.224117,1914,1287,627,1614,5406,Yes
S036,Z04,Velachery,12.986581,80.168845,2152,1368,784,1755,6206,Yes
S037,Z02,Central Chennai,13.069814,80.282144,1008,662,346,844,3248,No
S038,Z01,North Chennai,13.111439,80.292013,1897,567,1330,1805,3102,Yes
S039,Z01,North Chennai,13.114308,80.265925,2386,1813,573,2388,4087,No
S040,Z02,Central Chennai,13.082045,80.259171,479,324,155,506,1094,Yes
S041,Z02,Central Chennai,13.078989,80.264392,2079,573,1506,1957,6475,No
S042,Z01,North Chennai,13.093943,80.235102,706,529,177,621,1848,Yes
S043,Z03,Adyar,12.971231,80.257519,2486,1489,997,2979,8429,Yes
S044,Z02,Central Chennai,13.099182,80.252108,1633,1115,518,1413,2993,Yes
S045,Z03,Adyar,13.014978,80.245524,1253,644,609,1176,2626,No
S046,Z01,North Chennai,13.118537,80.263158,355,274,81,333,735,No
S047,Z02,Central Chennai,13.106821,80.267816,1160,574,586,1148,3257,Yes
S048,Z01,North Chennai,13.102768,80.28902,625,232,393,740,1064,Yes
S049,Z02,Central Chennai,13.086309,80.242974,630,215,415,537,1810,No
S050,Z03,Adyar,13.002192,80.271253,1873,654,1219,1541,4445,No
S051,Z05,South-West Chennai,13.019505,80.187162,2208,1503,705,2642,4133,Yes
S052,Z02,Central Chennai,13.079544,80.281958,1934,557,1377,1708,3822,No
S053,Z04,Velachery,12.974757,80.194588,1787,1396,391,1558,4700,Yes
S054,Z03,Adyar,12.983877,80.268887,1978,888,1090,2288,5234,Yes
S055,Z02,Central Chennai,13.082045,80.259171,2029,1254,775,2116,7094,No
S056,Z02,Central Chennai,13.084638,80.265939,845,422,423,906,2517,No
S057,Z04,Velachery,12.961789,80.18862,1580,741,839,1361,4348,No
S058,Z04,Velachery,12.979149,80.205664,773,365,408,761,2674,No
S059,Z01,North Chennai,13.098906,80.304948,519,222,297,439,882,Yes
S060,Z05,South-West Chennai,13.00205,80.186269,2065,536,1529,1873,6119,No
S061,Z04,Velachery,12.948535,80.220818,1642,1118,524,1392,3415,Yes
