ambulance_id,zone_id,zone_name,latitude,longitude,status,patient_capacity,type
A001,Z02,Central Chennai,13.085455,80.277526,Standby,1,Advanced
A002,Z02,Central Chennai,13.073499,80.232033,Available,3,Basic
A003,Z05,South-West Chennai,13.021859,80.169004,Available,2,Basic
A004,Z03,Adyar,12.995023,80.28719,Dispatched,3,Advanced
A005,Z05,South-West Chennai,13.041143,80.161083,Available,2,Basic
A006,Z02,Central Chennai,13.078315,80.299157,Standby,3,Advanced
A007,Z02,Central Chennai,13.085647,80.26132,Dispatched,4,Basic
A008,Z03,Adyar,13.018836,80.248409,Available,2,Advanced
A009,Z04,Velachery,13.009551,80.204855,Standby,3,Basic
A010,Z05,South-West Chennai,13.018716,80.184505,Dispatched,2,Advanced
A011,Z03,Adyar,13.008238,80.228908,Dispatched,2,Advanced
A012,Z04,Velachery,12.989512,80.201794,Available,3,Advanced
A013,Z05,South-West Chennai,13.023764,80.183455,Dispatched,3,Basic
A014,Z05,South-West Chennai,13.028261,80.171655,Available,2,Basic
A015,Z01,North Chennai,13.088161,80.266909,Available,3,Advanced
A016,Z02,Central Chennai,13.090659,80.224055,Available,3,Basic
A017,Z03,Adyar,13.070289,80.250426,Available,3,Advanced
A018,Z03,Adyar,13.048713,80.257401,Dispatched,4,Basic
A019,Z01,North Chennai,13.118027,80.273917,Available,3,Basic
A020,Z01,North Chennai,13.126738,80.255964,Available,3,Basic
A021,Z01,North Chennai,13.106438,80.300719,Available,3,Basic
A022,Z03,Adyar,12.992322,80.253383,Available,4,Basic
A023,Z03,Adyar,13.03996,80.277429,Available,2,Basic
A024,Z02,Central Chennai,13.085455,80.277526,Dispatched,2,Basic
A025,Z01,North Chennai,13.116416,80.283713,Standby,2,Basic
A026,Z04,Velachery,12.961789,80.18862,Dispatched,2,Basic
A027,Z05,South-West Chennai,13.008479,80.220434,Dispatched,3,Basic
A028,Z04,Velachery,12.983121,80.219987,Dispatched,2,Basic
A029,Z01,North Chennai,13.135503,80.277839,Available,3,Basic
A030,Z05,South-West Chennai,13.004402,80.157349,Available,2,Advanced
A031,Z03,Adyar,12.997584,80.259884,Available,1,Basic
A032,Z02,Central Chennai,13.067777,80.262242,Available,1,Basic
A033,Z05,South-West Chennai,13.005403,80.215084,Standby,4,Advanced
A034,Z04,Velachery,12.986581,80.168845,Available,3,Basic
A035,Z01,North Chennai,13.128522,80.238242,Dispatched,3,Basic
A036,Z01,North Chennai,13.088161,80.266909,Available,3,Basic
A037,Z05,South-West Chennai,13.029417,80.165258,Available,3,Basic
