rescue_vehicle_id,zone_id,zone_name,latitude,longitude,status,vehicle_type
RV001,Z05,South-West Chennai,13.020674,80.185013,Dispatched,Boat
RV002,Z05,South-West Chennai,13.006947,80.183574,Standby,Rescue Van
RV003,Z05,South-West Chennai,13.016406,80.194136,Dispatched,Multipurpose Truck
RV004,Z02,Central Chennai,13.090659,80.224055,Dispatched,Rescue Van
RV005,Z02,Central Chennai,13.075426,80.273748,Available,High-clearance Vehicle
RV006,Z03,Adyar,12.984614,80.225173,Dispatched,High-clearance Vehicle
RV007,Z03,Adyar,12.991017,80.266794,Available,Boat
RV008,Z02,Central Chennai,13.090659,80.224055,Dispatched,High-clearance Vehicle
RV009,Z04,Velachery,13.002481,80.176131,Dispatched,High-clearance Vehicle
RV010,Z01,North Chennai,13.14923,80.322925,Available,Multipurpose Truck
RV011,Z01,North Chennai,13.110713,80.319045,Standby,Rescue Van
RV012,Z05,South-West Chennai,13.034684,80.176492,Standby,Rescue Van
RV013,Z04,Velachery,12.987393,80.252007,Dispatched,Boat
RV014,Z05,South-West Chennai,13.009022,80.188294,Available,Boat
RV015,Z04,Velachery,12.937276,80.21638,Available,High-clearance Vehicle
RV016,Z02,Central Chennai,13.101266,80.267873,Available,Rescue Van
RV017,Z03,Adyar,12.983576,80.249383,Available,Multipurpose Truck
RV018,Z02,Central Chennai,13.086382,80.247777,Standby,Rescue Van
RV019,Z03,Adyar,13.003772,80.248118,Dispatched,Rescue Van
RV020,Z05,South-West Chennai,13.032848,80.177488,Dispatched,Multipurpose Truck
RV021,Z01,North Chennai,13.117641,80.281183,Available,Rescue Van
RV022,Z01,North Chennai,13.113463,80.271492,Available,Rescue Van
RV023,Z01,North Chennai,13.106438,80.300719,Available,Rescue Van
RV024,Z01,North Chennai,13.125115,80.279188,Dispatched,High-clearance Vehicle
RV025,Z03,Adyar,13.022496,80.255526,Available,High-clearance Vehicle
RV026,Z05,South-West Chennai,13.008383,80.162615,Available,Rescue Van
RV027,Z05,South-West Chennai,13.003661,80.199163,Dispatched,Multipurpose Truck
RV028,Z04,Velachery,12.984142,80.191542,Standby,Boat
RV029,Z02,Central Chennai,13.063301,80.275261,Dispatched,High-clearance Vehicle
RV030,Z04,Velachery,12.963955,80.220415,Available,Multipurpose Truck
RV031,Z04,Velachery,12.989983,80.207541,Available,High-clearance Vehicle
RV032,Z02,Central Chennai,13.054533,80.28701,Standby,Rescue Van
RV033,Z02,Central Chennai,13.042743,80.292021,Available,Rescue Van
RV034,Z05,South-West Chennai,13.011927,80.172752,Dispatched,Boat
RV035,Z03,Adyar,12.986957,80.269282,Available,Rescue Van
RV036,Z04,Velachery,12.976995,80.215151,Available,Rescue Van
RV037,Z04,Velachery,12.958837,80.203633,Available,Rescue Van
RV038,Z03,Adyar,13.010271,80.258547,Dispatched,High-clearance Vehicle
RV039,Z05,South-West Chennai,13.029557,80.15365,Dispatched,Rescue Van
RV040,Z05,South-West Chennai,12.983213,80.167566,Available,Rescue Van
RV041,Z03,Adyar,12.998812,80.226433,Available,Rescue Van
RV042,Z03,Adyar,13.005725,80.26676,Available,High-clearance Vehicle
RV043,Z01,North Chennai,13.119621,80.292923,Available,High-clearance Vehicle
RV044,Z03,Adyar,13.022867,80.237314,Available,Boat
RV045,Z02,Central Chennai,13.073142,80.292087,Available,Rescue Van
RV046,Z05,South-West Chennai,13.013873,80.180183,Available,Boat
RV047,Z05,South-West Chennai,13.036845,80.20861,Available,Multipurpose Truck
RV048,Z05,South-West Chennai,13.042395,80.148777,Available,Rescue Van
RV049,Z01,North Chennai,13.121261,80.268568,Available,Rescue Van
RV050,Z01,North Chennai,13.12215,80.263115,Standby,Multipurpose Truck
RV051,Z01,North Chennai,13.114308,80.265925,Dispatched,Rescue Van
RV052,Z01,North Chennai,13.128762,80.280481,Available,Rescue Van
RV053,Z04,Velachery,12.972367,80.190437,Available,Rescue Van
RV054,Z01,North Chennai,13.077258,80.257769,Standby,High-clearance Vehicle
RV055,Z03,Adyar,13.029609,80.293629,Dispatched,High-clearance Vehicle
RV056,Z05,South-West Chennai,13.020589,80.170509,Available,Rescue Van
RV057,Z05,South-West Chennai,13.021975,80.147704,Available,Rescue Van
RV058,Z03,Adyar,13.018836,80.248409,Available,Multipurpose Truck
RV059,Z04,Velachery,13.008694,80.19174,Dispatched,High-clearance Vehicle
RV060,Z03,Adyar,13.008238,80.228908,Dispatched,Boat
RV061,Z05,South-West Chennai,13.033216,80.182202,Standby,Rescue Van
RV062,Z04,Velachery,12.975877,80.200152,Available,Rescue Van
RV063,Z04,Velachery,12.980952,80.177769,Available,High-clearance Vehicle
RV064,Z04,Velachery,12.976995,80.215151,Available,Multipurpose Truck
RV065,Z03,Adyar,13.017871,80.266051,Dispatched,Multipurpose Truck
RV066,Z04,Velachery,12.999972,80.236532,Available,High-clearance Vehicle
RV067,Z04,Velachery,13.016251,80.213815,Available,High-clearance Vehicle
RV068,Z03,Adyar,13.002192,80.271253,Available,Rescue Van
RV069,Z04,Velachery,12.974174,80.186631,Dispatched,Rescue Van
RV070,Z05,South-West Chennai,13.029417,80.165258,Dispatched,Rescue Van
RV071,Z02,Central Chennai,13.06249,80.258342,Available,Rescue Van
RV072,Z05,South-West Chennai,13.011927,80.172752,Available,Multipurpose Truck
RV073,Z04,Velachery,12.975877,80.200152,Dispatched,High-clearance Vehicle
RV074,Z01,North Chennai,13.124457,80.281115,Available,High-clearance Vehicle
RV075,Z02,Central Chennai,13.072424,80.30021,Standby,Rescue Van
RV076,Z02,Central Chennai,13.073142,80.292087,Dispatched,Rescue Van
RV077,Z01,North Chennai,13.117641,80.281183,Available,High-clearance Vehicle
RV078,Z04,Velachery,12.991367,80.228611,Dispatched,Boat
RV079,Z02,Central Chennai,13.027525,80.278858,Available,High-clearance Vehicle
RV080,Z01,North Chennai,13.102056,80.305826,Standby,High-clearance Vehicle
RV081,Z05,South-West Chennai,13.029557,80.15365,Available,High-clearance Vehicle
RV082,Z05,South-West Chennai,13.031182,80.174729,Available,High-clearance Vehicle
RV083,Z04,Velachery,12.948535,80.220818,Available,Rescue Van
RV084,Z04,Velachery,12.983849,80.206209,Standby,High-clearance Vehicle
RV085,Z04,Velachery,12.977023,80.212473,Available,Multipurpose Truck
RV086,Z01,North Chennai,13.09104,80.290037,Standby,Multipurpose Truck
RV087,Z05,South-West Chennai,13.015458,80.185491,Dispatched,Boat
RV088,Z03,Adyar,12.999543,80.277597,Available,Multipurpose Truck
RV089,Z01,North Chennai,13.128762,80.280481,Available,High-clearance Vehicle
RV090,Z02,Central Chennai,13.076569,80.269836,Available,Rescue Van
RV091,Z01,North Chennai,13.092074,80.297567,Available,Rescue Van
RV092,Z01,North Chennai,13.122683,80.301588,Available,Rescue Van
RV093,Z04,Velachery,12.990344,80.260028,Dispatched,High-clearance Vehicle
RV094,Z01,North Chennai,13.095633,80.270642,Available,High-clearance Vehicle
RV095,Z03,Adyar,13.018836,80.248409,Available,Rescue Van
RV096,Z04,Velachery,12.95888,80.201834,Dispatched,Rescue Van
RV097,Z05,South-West Chennai,13.016278,80.159928,Available,Multipurpose Truck
RV098,Z02,Central Chennai,13.056653,80.251582,Dispatched,Rescue Van
RV099,Z03,Adyar,13.027948,80.235718,Available,Boat
RV100,Z04,Velachery,13.02875,80.249527,Available,Rescue Van
RV101,Z03,Adyar,13.033761,80.234313,Standby,Boat
RV102,Z01,North Chennai,13.060521,80.290631,Available,Rescue Van
RV103,Z03,Adyar,13.010271,80.258547,Available,Rescue Van
RV104,Z03,Adyar,13.023554,80.235414,Available,Boat
RV105,Z01,North Chennai,13.082097,80.293006,Available,High-clearance Vehicle
RV106,Z02,Central Chennai,13.090693,80.265537,Available,High-clearance Vehicle
RV107,Z01,North Chennai,13.110713,80.319045,Dispatched,High-clearance Vehicle
RV108,Z04,Velachery,13.036905,80.213667,Available,Multipurpose Truck
RV109,Z05,South-West Chennai,13.017019,80.184338,Available,Multipurpose Truck
RV110,Z01,North Chennai,13.101444,80.285151,Standby,Rescue Van
RV111,Z01,North Chennai,13.082837,80.273645,Standby,Multipurpose Truck
RV112,Z05,South-West Chennai,13.032848,80.177488,Available,Multipurpose Truck
RV113,Z02,Central Chennai,13.07995,80.261237,Available,Multipurpose Truck
RV114,Z02,Central Chennai,13.07627,80.267742,Available,Boat
RV115,Z01,North Chennai,13.102434,80.273433,Available,Multipurpose Truck
RV116,Z05,South-West Chennai,13.005446,80.186289,Available,High-clearance Vehicle
RV117,Z04,Velachery,12.999121,80.221652,Available,High-clearance Vehicle
RV118,Z02,Central Chennai,13.086498,80.243095,Available,High-clearance Vehicle
RV119,Z05,South-West Chennai,13.026988,80.198763,Dispatched,Rescue Van
RV120,Z04,Velachery,12.986854,80.241602,Available,Rescue Van
