medical_team_id,zone_id,zone_name,doctors,nurses,status,specialization
MT001,Z01,North Chennai,3,4,Available,General
MT002,Z01,North Chennai,2,5,Available,Emergency
MT003,Z02,Central Chennai,2,4,Deployed,Emergency
MT004,Z02,Central Chennai,2,5,Standby,Trauma
MT005,Z05,South-West Chennai,2,7,Available,Emergency
MT006,Z03,Adyar,2,3,Deployed,Emergency
MT007,Z03,Adyar,2,2,Available,General
MT008,Z05,South-West Chennai,3,5,Available,General
MT009,Z03,Adyar,1,6,Available,Emergency
MT010,Z03,Adyar,3,5,Available,General
MT011,Z01,North Chennai,1,5,Available,Emergency
MT012,Z01,North Chennai,3,7,Available,Emergency
MT013,Z04,Velachery,2,4,Deployed,Pediatric
MT014,Z05,South-West Chennai,3,7,Standby,Trauma
MT015,Z01,North Chennai,2,5,Deployed,Emergency
MT016,Z05,South-West Chennai,3,2,Available,Pediatric
MT017,Z05,South-West Chennai,3,7,Available,Trauma
MT018,Z01,North Chennai,3,6,Deployed,General
MT019,Z04,Velachery,2,4,Available,General
MT020,Z04,Velachery,2,6,Available,General
MT021,Z03,Adyar,2,3,Available,Trauma
MT022,Z01,North Chennai,3,2,Available,Pediatric
MT023,Z03,Adyar,2,5,Available,Pediatric
MT024,Z04,Velachery,2,4,Deployed,Emergency
MT025,Z02,Central Chennai,2,4,Available,Emergency
MT026,Z04,Velachery,1,7,Available,General
MT027,Z04,Velachery,1,5,Available,Pediatric
MT028,Z02,Central Chennai,2,7,Available,General
MT029,Z04,Velachery,2,3,Deployed,Emergency
MT030,Z01,North Chennai,3,7,Available,General
MT031,Z01,North Chennai,3,2,Deployed,General
MT032,Z05,South-West Chennai,3,3,Deployed,General
MT033,Z02,Central Chennai,2,4,Standby,General
MT034,Z03,Adyar,2,6,Available,Emergency
MT035,Z01,North Chennai,2,4,Available,General
MT036,Z01,North Chennai,2,6,Available,General
MT037,Z02,Central Chennai,3,5,Available,Emergency
MT038,Z02,Central Chennai,1,6,Available,Trauma
MT039,Z05,South-West Chennai,3,7,Standby,Emergency
MT040,Z03,Adyar,3,3,Available,General
MT041,Z05,South-West Chennai,1,7,Standby,Emergency
MT042,Z01,North Chennai,3,5,Standby,General
MT043,Z04,Velachery,2,6,Available,General
MT044,Z03,Adyar,3,5,Available,General
