resource_id,zone_id,zone_name,resource_type,unit,quantity,status
RS001,Z05,South-West Chennai,Blankets,units,2998,In Transit
RS002,Z02,Central Chennai,Medicine,kits,16148,Available
RS003,Z01,North Chennai,ORS,packets,18674,Available
RS004,Z01,North Chennai,Water,litres,12622,Available
RS005,Z01,North Chennai,Food,packets,9463,Available
RS006,Z01,North Chennai,Water,litres,13135,Available
RS007,Z01,North Chennai,Blankets,units,12684,In Transit
RS008,Z05,South-West Chennai,Medicine,kits,12221,Available
RS009,Z01,North Chennai,Water,litres,9009,In Transit
RS010,Z05,South-West Chennai,Medicine,kits,7221,Available
RS011,Z03,Adyar,Food,packets,8023,In Transit
RS012,Z01,North Chennai,ORS,packets,17520,Available
RS013,Z05,South-West Chennai,Medicine,kits,9939,Available
RS014,Z04,Velachery,Blankets,units,8284,In Transit
RS015,Z01,North Chennai,Water,litres,7910,Available
RS016,Z05,South-West Chennai,Water,litres,12962,Available
RS017,Z01,North Chennai,Food,packets,6081,Available
RS018,Z03,Adyar,Food,packets,2561,Available
RS019,Z02,Central Chennai,Food,packets,13524,Available
RS020,Z04,Velachery,Water,litres,14066,Available
RS021,Z04,Velachery,Medicine,kits,15930,Available
RS022,Z04,Velachery,Water,litres,11209,Available
RS023,Z02,Central Chennai,Food,packets,14403,Available
RS024,Z02,Central Chennai,Medicine,kits,11946,Available
RS025,Z02,Central Chennai,Food,packets,6731,In Transit
RS026,Z05,South-West Chennai,Food,packets,9758,Available
RS027,Z04,Velachery,ORS,packets,16830,Available
RS028,Z02,Central Chennai,Food,packets,11772,In Transit
RS029,Z04,Velachery,Water,litres,9829,Available
RS030,Z03,Adyar,Medicine,kits,12814,Reserved
RS031,Z01,North Chennai,Medicine,kits,4717,Available
RS032,Z04,Velachery,Food,packets,3860,Available
RS033,Z05,South-West Chennai,Food,packets,8059,In Transit
RS034,Z03,Adyar,Water,litres,7678,Available
RS035,Z05,South-West Chennai,Water,litres,6312,Available
RS036,Z05,South-West Chennai,Medicine,kits,660,In Transit
RS037,Z02,Central Chennai,Water,litres,17483,In Transit
RS038,Z01,North Chennai,ORS,packets,12860,Available
RS039,Z03,Adyar,Food,packets,7332,Available
RS040,Z01,North Chennai,Food,packets,16335,Available
RS041,Z02,Central Chennai,Food,packets,13343,In Transit
RS042,Z02,Central Chennai,Food,packets,11162,In Transit
RS043,Z04,Velachery,ORS,packets,6383,Reserved
RS044,Z04,Velachery,Food,packets,1798,Available
RS045,Z03,Adyar,Medicine,kits,5133,Available
RS046,Z04,Velachery,Food,packets,19902,Available
RS047,Z01,North Chennai,ORS,packets,18424,Available
RS048,Z03,Adyar,Blankets,units,10399,Reserved
RS049,Z02,Central Chennai,Water,litres,16645,Reserved
RS050,Z03,Adyar,Medicine,kits,8887,Available
RS051,Z02,Central Chennai,ORS,packets,11053,Available
RS052,Z04,Velachery,ORS,packets,13504,Available
RS053,Z01,North Chennai,Blankets,units,17497,Reserved
RS054,Z03,Adyar,Blankets,units,717,Available
RS055,Z04,Velachery,Food,packets,18963,Available
RS056,Z02,Central Chennai,Water,litres,635,Reserved
RS057,Z02,Central Chennai,Medicine,kits,10979,Available
RS058,Z04,Velachery,Water,litres,668,Available
RS059,Z04,Velachery,Medicine,kits,18965,Reserved
RS060,Z03,Adyar,Medicine,kits,14452,Reserved
RS061,Z05,South-West Chennai,Medicine,kits,3699,Available
RS062,Z03,Adyar,Water,litres,9642,Available
RS063,Z04,Velachery,Food,packets,12498,Available
RS064,Z01,North Chennai,ORS,packets,5333,Available
RS065,Z03,Adyar,Food,packets,9386,Available
RS066,Z05,South-West Chennai,Water,litres,17709,Available
RS067,Z05,South-West Chennai,ORS,packets,3302,Available
RS068,Z02,Central Chennai,ORS,packets,14374,In Transit
RS069,Z05,South-West Chennai,Water,litres,7754,In Transit
RS070,Z03,Adyar,Water,litres,6194,Available
RS071,Z01,North Chennai,Medicine,kits,4019,Available
RS072,Z02,Central Chennai,Water,litres,9442,Available
RS073,Z05,South-West Chennai,Blankets,units,14893,Available
RS074,Z05,South-West Chennai,Water,litres,2470,In Transit
RS075,Z01,North Chennai,ORS,packets,7679,In Transit
RS076,Z01,North Chennai,Blankets,units,10308,In Transit
RS077,Z03,Adyar,Food,packets,4630,Available
RS078,Z02,Central Chennai,Food,packets,15724,Available
RS079,Z02,Central Chennai,Blankets,units,5280,Available
RS080,Z01,North Chennai,Water,litres,2920,Reserved
RS081,Z05,South-West Chennai,ORS,packets,1714,Available
RS082,Z03,Adyar,Water,litres,1776,Available
RS083,Z05,South-West Chennai,ORS,packets,9033,Available
RS084,Z05,South-West Chennai,Water,litres,5782,Available
RS085,Z05,South-West Chennai,Food,packets,2879,Available
RS086,Z03,Adyar,Food,packets,10460,Reserved
RS087,Z03,Adyar,Food,packets,5423,Available
RS088,Z05,South-West Chennai,Water,litres,17623,Available
RS089,Z03,Adyar,Blankets,units,6490,Available
RS090,Z05,South-West Chennai,Water,litres,2648,Available
RS091,Z03,Adyar,Food,packets,18426,Reserved
RS092,Z05,South-West Chennai,Water,litres,16916,Available
RS093,Z04,Velachery,Water,litres,14932,In Transit
RS094,Z03,Adyar,Food,packets,17898,Available
RS095,Z01,North Chennai,ORS,packets,9332,Available
RS096,Z01,North Chennai,Medicine,kits,19659,In Transit
RS097,Z03,Adyar,Blankets,units,10364,In Transit
RS098,Z05,South-West Chennai,ORS,packets,18162,Available
RS099,Z03,Adyar,Food,packets,19964,Available
RS100,Z03,Adyar,Food,packets,12654,Available
RS101,Z04,Velachery,Blankets,units,15256,In Transit
RS102,Z01,North Chennai,Water,litres,8438,Available
RS103,Z03,Adyar,Water,litres,9844,Available
RS104,Z01,North Chennai,Water,litres,17320,Reserved
RS105,Z03,Adyar,Medicine,kits,13229,Available
RS106,Z02,Central Chennai,Blankets,units,13790,Available
RS107,Z01,North Chennai,Food,packets,2624,In Transit
RS108,Z01,North Chennai,Blankets,units,14177,Reserved
RS109,Z03,Adyar,Food,packets,13314,In Transit
RS110,Z03,Adyar,Water,litres,17521,Available
RS111,Z02,Central Chennai,Food,packets,1762,Available
RS112,Z05,South-West Chennai,Food,packets,4617,Available
RS113,Z02,Central Chennai,Medicine,kits,15690,Available
RS114,Z01,North Chennai,Blankets,units,9554,Available
RS115,Z05,South-West Chennai,Medicine,kits,8073,Reserved
RS116,Z02,Central Chennai,Water,litres,13594,Available
RS117,Z04,Velachery,Food,packets,6521,Available
RS118,Z01,North Chennai,Food,packets,11685,Available
RS119,Z03,Adyar,Water,litres,16728,Available
RS120,Z02,Central Chennai,Food,packets,4279,Available
RS121,Z04,Velachery,Water,litres,13210,Available
RS122,Z04,Velachery,Blankets,units,17800,Reserved
RS123,Z02,Central Chennai,Medicine,kits,3921,In Transit
RS124,Z03,Adyar,Food,packets,11858,In Transit
RS125,Z01,North Chennai,ORS,packets,14800,Available
RS126,Z03,Adyar,Water,litres,3740,Available
RS127,Z03,Adyar,Food,packets,15831,Available
RS128,Z03,Adyar,Water,litres,16829,Reserved
RS129,Z05,South-West Chennai,Water,litres,16569,Available
RS130,Z04,Velachery,Food,packets,16508,Available
RS131,Z02,Central Chennai,Medicine,kits,2154,In Transit
RS132,Z02,Central Chennai,Medicine,kits,8930,Available
RS133,Z03,Adyar,Medicine,kits,2699,Available
RS134,Z01,North Chennai,Food,packets,13228,Available
RS135,Z03,Adyar,Water,litres,19124,Available
RS136,Z05,South-West Chennai,Blankets,units,1785,Reserved
RS137,Z04,Velachery,Food,packets,3877,Available
RS138,Z01,North Chennai,Food,packets,19397,In Transit
RS139,Z03,Adyar,Water,litres,18248,Available
RS140,Z03,Adyar,Food,packets,7614,Available
RS141,Z05,South-West Chennai,Blankets,units,3811,Available
RS142,Z05,South-West Chennai,Blankets,units,6172,Available
RS143,Z05,South-West Chennai,ORS,packets,6486,Available
RS144,Z04,Velachery,Water,litres,10073,Available
RS145,Z02,Central Chennai,Water,litres,2617,Available
RS146,Z03,Adyar,Food,packets,4199,Reserved
RS147,Z05,South-West Chennai,Blankets,units,4343,Available
RS148,Z04,Velachery,Blankets,units,13290,Reserved
RS149,Z04,Velachery,Water,litres,3741,Reserved
RS150,Z05,South-West Chennai,Medicine,kits,12271,In Transit
RS151,Z02,Central Chennai,Water,litres,19474,Reserved
RS152,Z05,South-West Chennai,Medicine,kits,528,In Transit
RS153,Z01,North Chennai,Blankets,units,5282,Reserved
RS154,Z01,North Chennai,Food,packets,6829,In Transit
RS155,Z01,North Chennai,Food,packets,7553,Available
RS156,Z04,Velachery,Water,litres,10741,In Transit
RS157,Z02,Central Chennai,Medicine,kits,5108,Available
RS158,Z04,Velachery,Medicine,kits,18162,Available
RS159,Z03,Adyar,Blankets,units,3448,Available
RS160,Z02,Central Chennai,Water,litres,8457,Available
RS161,Z04,Velachery,ORS,packets,9120,Reserved
RS162,Z02,Central Chennai,Food,packets,14522,Available
RS163,Z03,Adyar,ORS,packets,13150,Reserved
RS164,Z02,Central Chennai,Medicine,kits,11534,Available
RS165,Z05,South-West Chennai,Blankets,units,8034,In Transit
RS166,Z02,Central Chennai,Medicine,kits,1922,Available
RS167,Z01,North Chennai,Food,packets,1837,Available
RS168,Z04,Velachery,Water,litres,8303,Available
RS169,Z04,Velachery,Medicine,kits,12683,Available
RS170,Z05,South-West Chennai,Food,packets,6559,Available
RS171,Z01,North Chennai,Food,packets,6580,Reserved
RS172,Z04,Velachery,Water,litres,2255,Available
RS173,Z03,Adyar,Water,litres,5540,Available
RS174,Z05,South-West Chennai,Blankets,units,8470,Available
RS175,Z02,Central Chennai,Food,packets,8489,Available
RS176,Z03,Adyar,Medicine,kits,7102,Available
RS177,Z02,Central Chennai,Medicine,kits,11582,Available
RS178,Z05,South-West Chennai,ORS,packets,2524,Available
RS179,Z03,Adyar,ORS,packets,7664,In Transit
RS180,Z02,Central Chennai,ORS,packets,9414,Available
RS181,Z02,Central Chennai,Water,litres,4671,In Transit
RS182,Z05,South-West Chennai,Water,litres,12703,Reserved
RS183,Z01,North Chennai,ORS,packets,12781,In Transit
RS184,Z05,South-West Chennai,Food,packets,16955,In Transit
RS185,Z05,South-West Chennai,Water,litres,3909,Available
RS186,Z05,South-West Chennai,Medicine,kits,15392,Available
RS187,Z05,South-West Chennai,Food,packets,18356,Available
RS188,Z04,Velachery,ORS,packets,5715,Available
RS189,Z03,Adyar,Water,litres,6831,Available
RS190,Z02,Central Chennai,Blankets,units,4261,Available
RS191,Z05,South-West Chennai,Water,litres,18268,In Transit
RS192,Z04,Velachery,Medicine,kits,16353,Available
RS193,Z03,Adyar,Food,packets,14169,Available
RS194,Z03,Adyar,Water,litres,9830,Available
RS195,Z04,Velachery,Medicine,kits,14140,Available
RS196,Z01,North Chennai,Water,litres,5167,In Transit
RS197,Z04,Velachery,Medicine,kits,11874,Available
RS198,Z05,South-West Chennai,Food,packets,4289,Available
RS199,Z02,Central Chennai,Medicine,kits,12689,Available
RS200,Z02,Central Chennai,Food,packets,848,Available
RS201,Z05,South-West Chennai,ORS,packets,9531,Available
RS202,Z01,North Chennai,Blankets,units,8178,Available
RS203,Z04,Velachery,Blankets,units,7882,Reserved
RS204,Z03,Adyar,Water,litres,16111,In Transit
RS205,Z02,Central Chennai,Blankets,units,19400,In Transit
RS206,Z01,North Chennai,Food,packets,11760,Available
RS207,Z02,Central Chennai,Water,litres,11810,Reserved
RS208,Z03,Adyar,Water,litres,3142,In Transit
