incident_id,zone_id,zone_name,latitude,longitude,incident_type,severity,timestamp
I00001,Z02,Central Chennai,13.08909,80.270958,Flooded Road,Moderate,2026-09-24 18:15:00
I00002,Z03,Adyar,13.017128,80.225124,Medical Emergency,Critical,2026-09-24 17:38:00
I00003,Z04,Velachery,12.998439,80.222016,Shelter Request,Critical,2026-09-24 11:38:00
I00004,Z04,Velachery,12.989783,80.205634,Household Evacuation,Critical,2026-09-24 11:04:00
I00005,Z03,Adyar,12.986002,80.237698,Medical Emergency,Critical,2026-09-24 23:13:00
I00006,Z05,South-West Chennai,13.015601,80.163005,Household Evacuation,High,2026-09-24 16:21:00
I00007,Z05,South-West Chennai,13.04356,80.183819,Medical Emergency,Critical,2026-09-24 11:55:00
I00008,Z03,Adyar,12.986631,80.265917,Household Evacuation,Moderate,2026-09-24 06:34:00
I00009,Z03,Adyar,13.012161,80.262875,Household Evacuation,Moderate,2026-09-24 11:34:00
I00010,Z02,Central Chennai,13.06748,80.256537,Household Evacuation,Critical,2026-09-24 05:55:00
I00011,Z02,Central Chennai,13.059721,80.258597,Water Rescue,Moderate,2026-09-24 06:39:00
I00012,Z01,North Chennai,13.105098,80.282742,Shelter Request,Critical,2026-09-24 07:54:00
I00013,Z01,North Chennai,13.143471,80.266529,Household Evacuation,Moderate,2026-09-24 02:24:00
I00014,Z05,South-West Chennai,13.016491,80.141958,Flooded Road,Moderate,2026-09-24 16:53:00
I00015,Z01,North Chennai,13.087795,80.287646,Household Evacuation,Critical,2026-09-24 09:31:00
I00016,Z01,North Chennai,13.0911,80.285928,Water Rescue,Moderate,2026-09-24 06:25:00
I00017,Z01,North Chennai,13.143214,80.295704,Household Evacuation,High,2026-09-24 06:30:00
I00018,Z01,North Chennai,13.105175,80.28822,Shelter Request,High,2026-09-24 17:32:00
I00019,Z02,Central Chennai,13.06207,80.277924,Flooded Road,Moderate,2026-09-24 03:30:00
I00020,Z03,Adyar,12.989969,80.25387,Flooded Road,High,2026-09-24 10:36:00
I00021,Z01,North Chennai,13.123585,80.316065,Shelter Request,Moderate,2026-09-24 03:38:00
I00022,Z04,Velachery,12.965908,80.214568,Household Evacuation,High,2026-09-24 09:56:00
I00023,Z04,Velachery,13.014257,80.19165,Flooded Road,Low,2026-09-24 09:31:00
I00024,Z03,Adyar,13.009109,80.263196,Shelter Request,Moderate,2026-09-24 03:52:00
I00025,Z01,North Chennai,13.116199,80.284565,Household Evacuation,Critical,2026-09-24 20:43:00
I00026,Z02,Central Chennai,13.074212,80.287548,Flooded Road,Low,2026-09-24 16:43:00
I00027,Z02,Central Chennai,13.099207,80.268295,Medical Emergency,Critical,2026-09-24 21:32:00
I00028,Z02,Central Chennai,13.092023,80.277579,Medical Emergency,Moderate,2026-09-24 22:52:00
I00029,Z05,South-West Chennai,13.026188,80.181724,Medical Emergency,Critical,2026-09-24 05:25:00
I00030,Z01,North Chennai,13.139131,80.296925,Medical Emergency,Critical,2026-09-24 00:46:00
I00031,Z05,South-West Chennai,12.97827,80.173083,Household Evacuation,High,2026-09-24 06:04:00
I00032,Z05,South-West Chennai,13.028732,80.181305,Flooded Road,Critical,2026-09-24 07:24:00
I00033,Z01,North Chennai,13.112636,80.285663,Household Evacuation,High,2026-09-24 23:53:00
I00034,Z02,Central Chennai,13.072062,80.265401,Medical Emergency,High,2026-09-24 02:12:00
I00035,Z01,North Chennai,13.124724,80.272162,Household Evacuation,Moderate,2026-09-24 15:49:00
I00036,Z05,South-West Chennai,13.018438,80.160477,Shelter Request,Low,2026-09-24 13:32:00
I00037,Z04,Velachery,12.986625,80.187951,Water Rescue,Low,2026-09-24 02:43:00
I00038,Z02,Central Chennai,13.07336,80.282935,Medical Emergency,Moderate,2026-09-24 22:30:00
I00039,Z03,Adyar,12.991464,80.255863,Medical Emergency,Critical,2026-09-24 16:26:00
I00040,Z05,South-West Chennai,13.028937,80.176243,Household Evacuation,High,2026-09-24 21:05:00
I00041,Z04,Velachery,13.004624,80.196837,Household Evacuation,Critical,2026-09-24 14:32:00
I00042,Z04,Velachery,12.977495,80.21025,Shelter Request,High,2026-09-24 01:56:00
I00043,Z01,North Chennai,13.126988,80.244559,Flooded Road,Low,2026-09-24 05:38:00
I00044,Z01,North Chennai,13.115548,80.279322,Shelter Request,Moderate,2026-09-24 14:30:00
I00045,Z04,Velachery,13.031124,80.252245,Household Evacuation,Moderate,2026-09-24 23:16:00
I00046,Z02,Central Chennai,13.082958,80.264215,Medical Emergency,Critical,2026-09-24 13:41:00
I00047,Z01,North Chennai,13.144531,80.284037,Flooded Road,Moderate,2026-09-24 21:33:00
I00048,Z01,North Chennai,13.12358,80.284107,Flooded Road,High,2026-09-24 09:05:00
I00049,Z03,Adyar,13.001392,80.232364,Shelter Request,High,2026-09-24 01:01:00
I00050,Z02,Central Chennai,13.05698,80.284952,Shelter Request,High,2026-09-24 23:45:00
I00051,Z02,Central Chennai,13.025634,80.268025,Flooded Road,Critical,2026-09-24 11:28:00
I00052,Z04,Velachery,12.980664,80.202464,Household Evacuation,High,2026-09-24 10:05:00
I00053,Z05,South-West Chennai,13.024988,80.16616,Shelter Request,High,2026-09-24 08:25:00
I00054,Z04,Velachery,12.954957,80.238137,Flooded Road,High,2026-09-24 01:22:00
I00055,Z02,Central Chennai,13.108768,80.269399,Household Evacuation,Low,2026-09-24 06:11:00
I00056,Z05,South-West Chennai,13.002152,80.197894,Household Evacuation,High,2026-09-24 08:36:00
