event_id,cell_id,zone_id,zone_name,rainfall_mm_day,flood_index,response_stage,hour,minute
E00001,Z01-030,Z01,North Chennai,7.0,0.99,Evacuation,3,34
E00002,Z02-099,Z02,Central Chennai,15.1,1.711,Normal,14,43
E00003,Z02-049,Z02,Central Chennai,1.8,0.251,Warning,19,58
E00004,Z02-033,Z02,Central Chennai,2.0,0.271,Warning,6,28
E00005,Z01-019,Z01,North Chennai,7.5,0.965,Normal,17,6
E00006,Z03-079,Z03,Adyar,8.8,1.239,Normal,7,17
E00007,Z05-027,Z05,South-West Chennai,8.5,0.824,Evacuation,20,19
E00008,Z02-058,Z02,Central Chennai,10.7,0.964,Evacuation,18,56
E00009,Z02-063,Z02,Central Chennai,18.4,2.187,Evacuation,8,39
E00010,Z03-033,Z03,Adyar,9.8,1.227,Emergency,8,34
E00011,Z03-061,Z03,Adyar,9.0,1.412,Normal,8,58
E00012,Z04-046,Z04,Velachery,9.3,1.015,Normal,20,18
E00013,Z01-089,Z01,North Chennai,7.8,0.846,Emergency,12,52
E00014,Z04-043,Z04,Velachery,2.6,0.35,Evacuation,7,21
E00015,Z01-029,Z01,North Chennai,3.5,0.407,Warning,20,57
E00016,Z02-006,Z02,Central Chennai,3.1,0.252,Evacuation,10,10
E00017,Z03-018,Z03,Adyar,2.5,0.324,Evacuation,5,41
E00018,Z02-064,Z02,Central Chennai,12.6,1.768,Evacuation,9,48
E00019,Z05-026,Z05,South-West Chennai,9.9,1.004,Evacuation,1,22
E00020,Z04-007,Z04,Velachery,15.4,2.365,Warning,5,39
E00021,Z05-050,Z05,South-West Chennai,2.3,0.202,Normal,16,41
E00022,Z03-046,Z03,Adyar,8.7,0.627,Emergency,17,4
E00023,Z03-051,Z03,Adyar,7.3,1.181,Emergency,14,38
E00024,Z03-046,Z03,Adyar,6.8,0.656,Evacuation,3,28
E00025,Z02-063,Z02,Central Chennai,16.0,2.147,Evacuation,8,11
E00026,Z02-096,Z02,Central Chennai,9.1,0.963,Warning,19,17
E00027,Z05-019,Z05,South-West Chennai,9.4,0.998,Evacuation,8,51
E00028,Z01-076,Z01,North Chennai,3.1,0.378,Evacuation,4,52
E00029,Z03-062,Z03,Adyar,2.4,0.278,Evacuation,9,37
E00030,Z05-061,Z05,South-West Chennai,10.7,0.855,Warning,15,45
E00031,Z03-054,Z03,Adyar,2.3,0.29,Warning,14,58
E00032,Z01-068,Z01,North Chennai,3.0,0.352,Emergency,0,26
E00033,Z05-010,Z05,South-West Chennai,11.0,1.095,Warning,4,15
E00034,Z01-054,Z01,North Chennai,3.3,0.4,Warning,15,54
E00035,Z01-081,Z01,North Chennai,14.9,2.204,Evacuation,21,6
E00036,Z04-005,Z04,Velachery,2.3,0.286,Evacuation,14,24
E00037,Z05-051,Z05,South-West Chennai,16.6,1.787,Evacuation,7,56
E00038,Z04-097,Z04,Velachery,10.5,1.399,Emergency,2,27
E00039,Z01-018,Z01,North Chennai,2.1,0.222,Evacuation,16,58
E00040,Z03-030,Z03,Adyar,3.2,0.408,Warning,13,14
E00041,Z05-088,Z05,South-West Chennai,25.1,2.207,Warning,18,48
E00042,Z05-077,Z05,South-West Chennai,20.1,2.096,Evacuation,18,40
E00043,Z02-088,Z02,Central Chennai,24.6,2.143,Evacuation,5,39
E00044,Z04-027,Z04,Velachery,2.4,0.34,Normal,7,21
E00045,Z05-006,Z05,South-West Chennai,3.1,0.239,Warning,5,6
E00046,Z04-019,Z04,Velachery,12.4,1.609,Warning,6,7
E00047,Z04-010,Z04,Velachery,15.2,1.715,Evacuation,1,53
E00048,Z02-064,Z02,Central Chennai,17.1,1.82,Evacuation,18,45
E00049,Z05-090,Z05,South-West Chennai,7.3,0.662,Normal,13,50
E00050,Z05-020,Z05,South-West Chennai,17.3,2.124,Normal,21,35
E00051,Z05-031,Z05,South-West Chennai,10.6,0.734,Emergency,12,59
E00052,Z03-042,Z03,Adyar,11.0,1.366,Evacuation,20,59
E00053,Z03-062,Z03,Adyar,2.3,0.335,Normal,4,1
E00054,Z05-051,Z05,South-West Chennai,16.8,1.709,Evacuation,19,36
E00055,Z03-061,Z03,Adyar,11.2,1.334,Evacuation,18,41
E00056,Z02-093,Z02,Central Chennai,1.9,0.218,Normal,20,5
E00057,Z04-027,Z04,Velachery,2.2,0.291,Warning,19,3
E00058,Z05-067,Z05,South-West Chennai,3.1,0.258,Evacuation,0,48
E00059,Z01-030,Z01,North Chennai,11.0,0.81,Warning,19,40
E00060,Z01-069,Z01,North Chennai,3.1,0.333,Evacuation,4,56
E00061,Z05-044,Z05,South-West Chennai,15.8,2.006,Normal,1,17
E00062,Z02-058,Z02,Central Chennai,11.9,0.997,Warning,10,52
E00063,Z04-005,Z04,Velachery,2.0,0.276,Normal,5,36
E00064,Z02-082,Z02,Central Chennai,9.0,0.923,Evacuation,7,44
E00065,Z02-055,Z02,Central Chennai,18.4,2.002,Normal,21,12
E00066,Z05-048,Z05,South-West Chennai,11.0,1.011,Warning,15,21
E00067,Z01-016,Z01,North Chennai,2.3,0.303,Evacuation,17,21
E00068,Z03-067,Z03,Adyar,2.6,0.344,Evacuation,18,57
E00069,Z04-052,Z04,Velachery,13.9,2.234,Normal,11,7
E00070,Z01-028,Z01,North Chennai,2.7,0.29,Evacuation,1,8
E00071,Z02-100,Z02,Central Chennai,6.1,0.979,Emergency,8,35
E00072,Z04-098,Z04,Velachery,3.2,0.404,Emergency,14,48
E00073,Z02-046,Z02,Central Chennai,13.6,1.932,Emergency,15,55
E00074,Z04-006,Z04,Velachery,2.9,0.309,Evacuation,11,41
E00075,Z04-042,Z04,Velachery,10.0,1.02,Warning,0,12
E00076,Z05-072,Z05,South-West Chennai,10.4,0.933,Evacuation,4,51
E00077,Z01-093,Z01,North Chennai,3.5,0.312,Evacuation,11,47
E00078,Z01-004,Z01,North Chennai,11.7,1.24,Evacuation,2,1
E00079,Z01-085,Z01,North Chennai,9.4,0.98,Normal,13,56
E00080,Z05-040,Z05,South-West Chennai,2.5,0.338,Emergency,1,16
E00081,Z01-002,Z01,North Chennai,12.4,2.037,Evacuation,2,29
E00082,Z01-096,Z01,North Chennai,8.4,1.11,Emergency,1,28
E00083,Z04-025,Z04,Velachery,2.5,0.27,Emergency,16,54
