station_id,station_name,zone_id,latitude,longitude,water_tenders,water_lorries,rescue_tenders,QRVs,personnel,availability
FRS-001,Esplanade,Z01,13.126473,80.287751,9,2,3,2,59,Partially Deployed
FRS-002,Korukkupet,Z02,13.070326,80.248837,29,2,1,2,21,Available
FRS-003,Royapuram,Z03,12.977061,80.262099,14,2,1,2,46,Partially Deployed
FRS-004,Secretariat,Z04,12.981228,80.212639,12,1,2,1,35,Available
FRS-005,Sembium,Z05,13.027826,80.159675,25,2,1,2,20,Partially Deployed
FRS-006,Tondiarpet,Z01,13.124174,80.281837,14,2,1,1,68,Available
FRS-007,V.O.C Nagar,Z02,13.099919,80.272354,13,2,2,1,64,Available
FRS-008,Vyasarpadi,Z03,13.011754,80.264786,30,2,1,1,48,Available
FRS-009,Washermanpet,Z04,13.00582,80.200927,25,0,1,2,54,Available
FRS-010,Ashoknagar,Z05,13.0122,80.183683,20,0,1,2,62,Partially Deployed
FRS-011,Guindy,Z01,13.111285,80.301718,12,2,2,1,29,Partially Deployed
FRS-012,Mylapore,Z02,13.083666,80.240541,25,2,3,2,27,Partially Deployed
FRS-013,Rajbhavan,Z03,13.005724,80.242461,9,2,2,1,52,Available
FRS-014,Saidapet,Z04,12.980231,80.207696,14,2,3,2,61,Partially Deployed
FRS-015,Teynampet,Z05,13.028137,80.17535,20,1,2,1,34,Dispatched
FRS-016,Thiruvanmiyur,Z01,13.122539,80.266082,17,0,1,2,57,Partially Deployed
FRS-017,Tambaram,Z02,13.081718,80.289699,8,0,3,2,46,Partially Deployed
FRS-018,T Nagar,Z03,13.03632,80.242553,12,0,1,1,45,Partially Deployed
FRS-019,Kilpauk,Z04,12.987389,80.21034,23,1,2,1,42,Available
FRS-020,Vepery,Z05,13.019902,80.193652,16,0,3,1,52,Partially Deployed
FRS-021,Egmore,Z01,13.116738,80.300561,28,0,2,1,67,Available
FRS-022,Triplicane,Z02,13.049503,80.274906,19,0,3,1,61,Dispatched
FRS-023,Koyambedu,Z03,13.032373,80.286193,22,2,2,2,20,Available
FRS-024,J.J. Nagar,Z04,12.985259,80.20827,9,0,2,1,47,Available
FRS-025,Villivakkam,Z05,13.027286,80.174686,17,2,3,1,59,Available
FRS-026,Ambattur,Z01,13.105946,80.2953,12,2,2,2,35,Available
FRS-027,Avadi,Z02,13.084832,80.271757,24,2,1,2,50,Available
FRS-028,Ennore,Z03,12.991203,80.243546,24,2,2,2,57,Available
FRS-029,Manali,Z04,12.995213,80.200214,30,0,1,2,24,Available
FRS-030,Thiruvotiyur,Z05,13.020217,80.177181,29,2,1,2,56,Available
