hospital_id,hospital_name,zone_id,latitude,longitude,beds,icu_beds,emergency_capacity,specialty,status
H-001,Government General Hospital,Z01,13.113233,80.293478,281,29,19,Women & Children,Open
H-002,Government Kilpauk Hospital,Z02,13.04335,80.276201,378,38,17,General,Open
H-003,Govt Hospital for Thoracic Medicine,Z03,13.007019,80.256941,764,81,47,Multi-specialty,Open
H-004,Govt Kasturba Hospital for Women,Z04,12.969847,80.188476,947,58,92,Trauma,High Load
H-005,Govt Multi Super Speciality Hospital,Z05,13.017375,80.178832,895,87,51,Cardiac,Emergency Only
H-006,Apollo Hospital,Z01,13.113269,80.284191,267,31,15,General,Open
H-007,Billroth Hospital,Z02,13.067359,80.291803,673,35,30,Women & Children,Open
H-008,C.S.I. Kalyani Hospital,Z03,12.995865,80.279933,933,48,83,General,Open
H-009,Dr. Mehtas Hospital,Z04,12.981278,80.235664,140,12,13,Women & Children,Open
H-010,Fortis Malar Hospital,Z05,13.025763,80.18117,160,10,13,General,High Load
H-011,Stanley Medical College Hospital,Z01,13.105177,80.303808,193,11,13,Trauma,High Load
H-012,Rajiv Gandhi Government General Hospital,Z02,13.088223,80.273534,749,68,67,Trauma,Open
H-013,Institute of Child Health,Z03,13.028428,80.264603,727,60,71,Women & Children,Open
H-014,Government Royapettah Hospital,Z04,12.980693,80.228554,914,126,58,Trauma,High Load
H-015,Sri Ramachandra Medical Centre,Z05,13.031336,80.186263,642,77,30,General,Open
H-016,MIOT International,Z01,13.11497,80.280832,552,47,45,Cardiac,Emergency Only
H-017,SIMS Hospital,Z02,13.063259,80.280905,457,41,28,Multi-specialty,Open
H-018,MGM Healthcare,Z03,13.033013,80.250551,861,108,70,General,High Load
H-019,Gleneagles HealthCity,Z04,12.977089,80.217544,405,38,40,Trauma,Open
H-020,Kauvery Hospital Chennai,Z05,13.010861,80.192123,261,29,14,Cardiac,Open
H-021,Vijaya Hospital,Z01,13.119515,80.275343,292,22,28,Trauma,Open
H-022,Hindu Mission Hospital,Z02,13.062279,80.28337,320,18,28,Trauma,High Load
H-023,Sankara Nethralaya,Z03,13.004564,80.263804,483,26,35,Cardiac,High Load
H-024,Global Hospitals Chennai,Z04,12.969181,80.241557,545,74,41,Trauma,Emergency Only
