center_id,name,zone_id,latitude,longitude,food_packets_stock,daily_capacity,vehicles,status
FOOD-001,Relief Food Centre 001,Z01,13.123673,80.277485,7987,3103,6,Open
FOOD-002,Relief Food Centre 002,Z02,13.04883,80.287485,8653,1652,3,Limited
FOOD-003,Relief Food Centre 003,Z03,13.008854,80.23389,6413,3722,6,Open
FOOD-004,Relief Food Centre 004,Z04,13.018603,80.214967,10374,4202,6,Closed
FOOD-005,Relief Food Centre 005,Z05,12.993849,80.149981,6595,3195,2,Open
FOOD-006,Relief Food Centre 006,Z01,13.089879,80.272169,4251,3819,4,Open
FOOD-007,Relief Food Centre 007,Z02,13.074154,80.262427,2851,4578,2,Open
FOOD-008,Relief Food Centre 008,Z03,13.00081,80.239551,11865,1368,7,Open
FOOD-009,Relief Food Centre 009,Z04,12.973114,80.21214,7752,3039,1,Limited
FOOD-010,Relief Food Centre 010,Z05,12.999933,80.177192,6457,4783,7,Open
FOOD-011,Relief Food Centre 011,Z01,13.117507,80.295034,9652,3502,6,Open
FOOD-012,Relief Food Centre 012,Z02,13.059125,80.299958,5135,3795,3,Limited
FOOD-013,Relief Food Centre 013,Z03,12.999594,80.262607,4895,3452,7,Limited
FOOD-014,Relief Food Centre 014,Z04,12.979635,80.208889,6885,1316,2,Limited
FOOD-015,Relief Food Centre 015,Z05,13.017657,80.170489,3441,3115,3,Open
FOOD-016,Relief Food Centre 016,Z01,13.124356,80.266405,4023,1058,7,Open
FOOD-017,Relief Food Centre 017,Z02,13.087364,80.257224,9288,1784,7,Open
FOOD-018,Relief Food Centre 018,Z03,13.005291,80.281366,5674,3916,7,Limited
FOOD-019,Relief Food Centre 019,Z04,13.001821,80.231316,7574,2033,5,Open
FOOD-020,Relief Food Centre 020,Z05,13.012925,80.171516,5160,2367,1,Open
FOOD-021,Relief Food Centre 021,Z01,13.11174,80.276579,10146,3070,3,Open
FOOD-022,Relief Food Centre 022,Z02,13.078008,80.253558,8138,3055,2,Limited
FOOD-023,Relief Food Centre 023,Z03,13.007325,80.250285,10145,3034,3,Open
FOOD-024,Relief Food Centre 024,Z04,12.993093,80.25392,2166,1073,6,Open
FOOD-025,Relief Food Centre 025,Z05,13.009097,80.171591,8092,4766,7,Open
FOOD-026,Relief Food Centre 026,Z01,13.097327,80.274284,2683,1648,7,Limited
FOOD-027,Relief Food Centre 027,Z02,13.062039,80.286243,9641,4761,5,Open
FOOD-028,Relief Food Centre 028,Z03,12.99791,80.281614,2474,3379,2,Open
FOOD-029,Relief Food Centre 029,Z04,12.996253,80.227734,4786,4200,4,Open
FOOD-030,Relief Food Centre 030,Z05,13.02236,80.167868,11255,4675,3,Open
FOOD-031,Relief Food Centre 031,Z01,13.115193,80.280646,11009,4931,2,Limited
FOOD-032,Relief Food Centre 032,Z02,13.09183,80.258681,10247,2962,6,Limited
FOOD-033,Relief Food Centre 033,Z03,12.982034,80.279211,6687,1110,4,Open
FOOD-034,Relief Food Centre 034,Z04,12.966774,80.189388,3381,2869,3,Open
FOOD-035,Relief Food Centre 035,Z05,13.025508,80.174159,11923,2030,7,Open
FOOD-036,Relief Food Centre 036,Z01,13.113067,80.276462,2150,2157,6,Open
FOOD-037,Relief Food Centre 037,Z02,13.084439,80.266387,4461,4791,4,Limited
FOOD-038,Relief Food Centre 038,Z03,13.000787,80.248039,11266,4706,4,Open
FOOD-039,Relief Food Centre 039,Z04,12.974256,80.20583,10214,4203,4,Open
FOOD-040,Relief Food Centre 040,Z05,13.010625,80.19805,7058,1686,1,Open
FOOD-041,Relief Food Centre 041,Z01,13.119167,80.267957,5001,3246,7,Limited
FOOD-042,Relief Food Centre 042,Z02,13.068315,80.267682,2326,2841,2,Open
FOOD-043,Relief Food Centre 043,Z03,13.00837,80.268771,3386,2225,3,Limited
FOOD-044,Relief Food Centre 044,Z04,12.971117,80.233598,4871,2404,3,Limited
FOOD-045,Relief Food Centre 045,Z05,13.033832,80.166964,3609,1242,4,Limited
FOOD-046,Relief Food Centre 046,Z01,13.111878,80.294993,4421,2708,4,Open
FOOD-047,Relief Food Centre 047,Z02,13.076239,80.262303,1514,3606,6,Open
FOOD-048,Relief Food Centre 048,Z03,13.017049,80.270102,6811,4719,5,Open
FOOD-049,Relief Food Centre 049,Z04,12.996053,80.221707,2708,3005,6,Open
FOOD-050,Relief Food Centre 050,Z05,13.030035,80.176468,11037,2638,6,Open
