water_point_id,name,zone_id,latitude,longitude,storage_capacity_litres,current_stock_litres,refill_capacity_litres_day,status
WATER-001,Emergency Water Point 001,Z01,13.106173,80.30419,20541,18603,4272,Low Stock
WATER-002,Emergency Water Point 002,Z02,13.084828,80.272957,38589,34700,8444,Operational
WATER-003,Emergency Water Point 003,Z03,12.99119,80.23145,31553,14782,8475,Operational
WATER-004,Emergency Water Point 004,Z04,12.986659,80.231134,44971,40049,9896,Low Stock
WATER-005,Emergency Water Point 005,Z05,13.032551,80.188697,19962,13900,6884,Operational
WATER-006,Emergency Water Point 006,Z01,13.114514,80.286756,11129,5752,6232,Low Stock
WATER-007,Emergency Water Point 007,Z02,13.063693,80.248104,20922,17102,3863,Low Stock
WATER-008,Emergency Water Point 008,Z03,13.032681,80.256232,6382,3767,1387,Operational
WATER-009,Emergency Water Point 009,Z04,12.979895,80.239359,17426,8419,4954,Operational
WATER-010,Emergency Water Point 010,Z05,13.019611,80.182577,31558,23292,1460,Low Stock
WATER-011,Emergency Water Point 011,Z01,13.098748,80.278721,17769,9427,3812,Operational
WATER-012,Emergency Water Point 012,Z02,13.07788,80.279229,17410,13789,4341,Low Stock
WATER-013,Emergency Water Point 013,Z03,13.00999,80.251312,23369,17238,3595,Operational
WATER-014,Emergency Water Point 014,Z04,12.99208,80.235654,18878,10818,6782,Operational
WATER-015,Emergency Water Point 015,Z05,13.018998,80.181615,12345,11556,4004,Operational
WATER-016,Emergency Water Point 016,Z01,13.11751,80.287418,45397,16708,8561,Operational
WATER-017,Emergency Water Point 017,Z02,13.072541,80.242899,30763,16955,6883,Operational
WATER-018,Emergency Water Point 018,Z03,13.001305,80.294078,27910,16399,9329,Operational
WATER-019,Emergency Water Point 019,Z04,12.978085,80.205982,46849,32562,6229,Operational
WATER-020,Emergency Water Point 020,Z05,13.044098,80.180199,13972,6354,2317,Low Stock
WATER-021,Emergency Water Point 021,Z01,13.119297,80.293493,41640,35829,1994,Operational
WATER-022,Emergency Water Point 022,Z02,13.07356,80.245423,32336,28425,3938,Operational
WATER-023,Emergency Water Point 023,Z03,13.009972,80.267279,12757,10895,6677,Operational
WATER-024,Emergency Water Point 024,Z04,12.97987,80.219173,40924,27395,1881,Operational
WATER-025,Emergency Water Point 025,Z05,13.033805,80.169073,18654,14916,6897,Low Stock
WATER-026,Emergency Water Point 026,Z01,13.11079,80.269063,17820,11397,9350,Low Stock
WATER-027,Emergency Water Point 027,Z02,13.070915,80.270128,7949,5461,1836,Operational
WATER-028,Emergency Water Point 028,Z03,13.01224,80.254518,11927,9009,1297,Operational
WATER-029,Emergency Water Point 029,Z04,13.011648,80.216811,47741,43255,3068,Low Stock
WATER-030,Emergency Water Point 030,Z05,13.008034,80.184388,35334,24151,3121,Operational
WATER-031,Emergency Water Point 031,Z01,13.118178,80.27542,10057,4885,3862,Operational
WATER-032,Emergency Water Point 032,Z02,13.059819,80.251647,33782,28613,6546,Operational
WATER-033,Emergency Water Point 033,Z03,13.013427,80.251715,40407,33036,2620,Low Stock
WATER-034,Emergency Water Point 034,Z04,12.977784,80.224284,8108,5518,7646,Operational
WATER-035,Emergency Water Point 035,Z05,13.029016,80.174007,9949,7333,7585,Operational
WATER-036,Emergency Water Point 036,Z01,13.094943,80.27863,37940,21045,7215,Operational
WATER-037,Emergency Water Point 037,Z02,13.074403,80.254541,6332,3065,4566,Low Stock
WATER-038,Emergency Water Point 038,Z03,12.99836,80.269128,25195,18353,3577,Operational
WATER-039,Emergency Water Point 039,Z04,12.974125,80.207633,11150,7529,8180,Operational
WATER-040,Emergency Water Point 040,Z05,13.036606,80.173306,35146,15811,3101,Operational
WATER-041,Emergency Water Point 041,Z01,13.123276,80.280543,46199,20047,7470,Operational
WATER-042,Emergency Water Point 042,Z02,13.054525,80.246817,28468,15198,6842,Low Stock
WATER-043,Emergency Water Point 043,Z03,13.012212,80.26478,36801,33148,8164,Unavailable
WATER-044,Emergency Water Point 044,Z04,12.973849,80.247445,38797,32345,6635,Operational
WATER-045,Emergency Water Point 045,Z05,13.008823,80.171963,18686,7584,9712,Operational
WATER-046,Emergency Water Point 046,Z01,13.095748,80.289907,49049,29891,1791,Operational
WATER-047,Emergency Water Point 047,Z02,13.067414,80.265112,23396,11648,8987,Unavailable
WATER-048,Emergency Water Point 048,Z03,13.008816,80.244984,33558,24311,3069,Operational
WATER-049,Emergency Water Point 049,Z04,12.976137,80.20465,44955,37208,6980,Operational
WATER-050,Emergency Water Point 050,Z05,13.028538,80.180229,7485,5045,6808,Low Stock
WATER-051,Emergency Water Point 051,Z01,13.120928,80.291164,44320,29875,4227,Operational
WATER-052,Emergency Water Point 052,Z02,13.071216,80.267062,11840,4540,7118,Operational
WATER-053,Emergency Water Point 053,Z03,13.00373,80.255077,22227,12343,2742,Operational
WATER-054,Emergency Water Point 054,Z04,12.987611,80.195228,38360,28004,5657,Operational
WATER-055,Emergency Water Point 055,Z05,12.998205,80.159252,6689,3997,2418,Operational
WATER-056,Emergency Water Point 056,Z01,13.111807,80.30661,35997,21579,1032,Operational
WATER-057,Emergency Water Point 057,Z02,13.08426,80.252279,33252,16223,7371,Low Stock
WATER-058,Emergency Water Point 058,Z03,13.024687,80.255885,18263,7292,7602,Operational
WATER-059,Emergency Water Point 059,Z04,12.977316,80.213762,5775,2483,6781,Operational
WATER-060,Emergency Water Point 060,Z05,13.013603,80.168987,26843,19788,2842,Operational
