vehicle_id,vehicle_type,zone_id,latitude,longitude,passenger_capacity,status,capability
EV-001,City Bus,Z01,13.091436,80.299465,45,Available,Flood-capable
EV-002,City Bus,Z02,13.103932,80.242362,45,Available,Standard
EV-003,City Bus,Z03,12.999889,80.248066,45,Available,Standard
EV-004,Van,Z04,12.997351,80.230892,12,Available,Standard
EV-005,City Bus,Z05,13.013704,80.185884,45,Moving,Flood-capable
EV-006,Mini Bus,Z01,13.120933,80.275403,25,Assigned,Standard
EV-007,City Bus,Z02,13.072371,80.281249,45,Available,Flood-capable
EV-008,City Bus,Z03,13.003561,80.279589,45,Moving,Standard
EV-009,Van,Z04,12.970616,80.231663,12,Moving,Standard
EV-010,Mini Bus,Z05,13.034726,80.204014,25,Maintenance,Standard
EV-011,Van,Z01,13.113546,80.299477,12,Available,Standard
EV-012,Utility Vehicle,Z02,13.090337,80.28843,6,Moving,Standard
EV-013,Utility Vehicle,Z03,12.996925,80.247828,6,Available,Standard
EV-014,City Bus,Z04,12.986977,80.211864,45,Available,Standard
EV-015,Utility Vehicle,Z05,13.009617,80.179385,6,Available,Standard
EV-016,City Bus,Z01,13.115673,80.259029,45,Available,Standard
EV-017,City Bus,Z02,13.064925,80.262631,45,Moving,Standard
EV-018,City Bus,Z03,13.00624,80.262142,45,Assigned,Standard
EV-019,City Bus,Z04,12.978419,80.208011,45,Moving,Standard
EV-020,Mini Bus,Z05,13.020603,80.185383,25,Maintenance,Standard
EV-021,City Bus,Z01,13.12194,80.257684,45,Available,Flood-capable
EV-022,Van,Z02,13.074155,80.272309,12,Available,Standard
EV-023,City Bus,Z03,12.993236,80.259368,45,Available,Flood-capable
EV-024,City Bus,Z04,12.998558,80.228148,45,Assigned,Standard
EV-025,City Bus,Z05,13.047251,80.164938,45,Available,Flood-capable
EV-026,City Bus,Z01,13.108766,80.291509,45,Available,Standard
EV-027,Van,Z02,13.076365,80.28496,12,Assigned,Standard
EV-028,City Bus,Z03,13.005556,80.268859,45,Available,Standard
EV-029,City Bus,Z04,12.976798,80.211597,45,Available,Standard
EV-030,City Bus,Z05,13.017814,80.195054,45,Available,Standard
EV-031,Van,Z01,13.108201,80.273722,12,Assigned,Standard
EV-032,Utility Vehicle,Z02,13.057267,80.264583,6,Available,Standard
EV-033,City Bus,Z03,13.007385,80.252348,45,Assigned,Standard
EV-034,City Bus,Z04,13.009718,80.23611,45,Available,Standard
EV-035,City Bus,Z05,13.019868,80.172339,45,Assigned,Standard
EV-036,City Bus,Z01,13.107788,80.295828,45,Available,Standard
EV-037,Van,Z02,13.073233,80.281651,12,Moving,Standard
EV-038,Utility Vehicle,Z03,13.00931,80.232026,6,Assigned,Flood-capable
EV-039,City Bus,Z04,12.986058,80.246738,45,Moving,Standard
EV-040,Mini Bus,Z05,13.008857,80.163038,25,Available,Standard
EV-041,Van,Z01,13.119873,80.303147,12,Available,Standard
EV-042,Mini Bus,Z02,13.07975,80.275334,25,Moving,Standard
EV-043,Van,Z03,12.994344,80.234521,12,Available,Standard
EV-044,City Bus,Z04,12.986875,80.195838,45,Available,Standard
EV-045,City Bus,Z05,13.02228,80.17769,45,Assigned,Standard
EV-046,Mini Bus,Z01,13.114881,80.307198,25,Available,Standard
EV-047,City Bus,Z02,13.088567,80.266189,45,Assigned,Standard
EV-048,Mini Bus,Z03,13.023702,80.222546,25,Maintenance,Standard
EV-049,Utility Vehicle,Z04,12.965661,80.1851,6,Assigned,Standard
EV-050,Utility Vehicle,Z05,13.026604,80.200751,6,Assigned,Standard
EV-051,City Bus,Z01,13.120897,80.267811,45,Assigned,Standard
EV-052,City Bus,Z02,13.088285,80.267683,45,Available,Flood-capable
EV-053,Van,Z03,13.015858,80.231523,12,Available,Flood-capable
EV-054,City Bus,Z04,12.97866,80.239049,45,Assigned,Flood-capable
EV-055,Mini Bus,Z05,13.021924,80.19233,25,Available,Standard
EV-056,City Bus,Z01,13.11057,80.293257,45,Available,Standard
EV-057,Utility Vehicle,Z02,13.07887,80.318168,6,Available,Standard
EV-058,Mini Bus,Z03,13.006779,80.23932,25,Available,Standard
EV-059,Van,Z04,12.984418,80.2025,12,Available,Standard
EV-060,Mini Bus,Z05,13.017423,80.191774,25,Available,Standard
EV-061,Mini Bus,Z01,13.132782,80.28562,25,Moving,Flood-capable
EV-062,Van,Z02,13.061958,80.281923,12,Available,Standard
EV-063,Utility Vehicle,Z03,13.006115,80.274026,6,Assigned,Standard
EV-064,City Bus,Z04,12.993992,80.220127,45,Moving,Standard
EV-065,Mini Bus,Z05,13.010661,80.186464,25,Assigned,Flood-capable
EV-066,Mini Bus,Z01,13.105955,80.266264,25,Available,Standard
EV-067,Mini Bus,Z02,13.059666,80.277864,25,Available,Standard
EV-068,City Bus,Z03,13.011587,80.263998,45,Available,Standard
EV-069,City Bus,Z04,12.991516,80.216457,45,Assigned,Standard
EV-070,Mini Bus,Z05,13.010838,80.180722,25,Maintenance,Flood-capable
EV-071,Van,Z01,13.118781,80.269318,12,Available,Standard
EV-072,City Bus,Z02,13.066899,80.2722,45,Available,Standard
EV-073,City Bus,Z03,13.012848,80.262985,45,Available,Standard
EV-074,Mini Bus,Z04,12.978747,80.20106,25,Moving,Standard
EV-075,City Bus,Z05,13.024196,80.1549,45,Moving,Standard
EV-076,Utility Vehicle,Z01,13.117601,80.29657,6,Available,Flood-capable
EV-077,City Bus,Z02,13.074174,80.265276,45,Assigned,Standard
EV-078,Mini Bus,Z03,13.004889,80.234855,25,Assigned,Flood-capable
EV-079,City Bus,Z04,12.967151,80.226069,45,Available,Standard
EV-080,City Bus,Z05,13.01091,80.187019,45,Available,Flood-capable
EV-081,Utility Vehicle,Z01,13.112578,80.269194,6,Assigned,Flood-capable
EV-082,Utility Vehicle,Z02,13.066338,80.28192,6,Available,Flood-capable
EV-083,Van,Z03,13.000979,80.243306,12,Assigned,Standard
EV-084,Van,Z04,12.980815,80.217315,12,Available,Standard
EV-085,City Bus,Z05,13.007186,80.182944,45,Assigned,Flood-capable
EV-086,Van,Z01,13.121139,80.296323,12,Assigned,Flood-capable
EV-087,City Bus,Z02,13.065686,80.273505,45,Moving,Standard
EV-088,Van,Z03,13.029686,80.247109,12,Moving,Standard
EV-089,City Bus,Z04,12.979975,80.227719,45,Assigned,Standard
EV-090,City Bus,Z05,13.017614,80.183487,45,Assigned,Standard
EV-091,Van,Z01,13.124428,80.30826,12,Assigned,Standard
EV-092,City Bus,Z02,13.068917,80.275262,45,Available,Standard
EV-093,Van,Z03,13.016354,80.281359,12,Available,Standard
EV-094,City Bus,Z04,12.995473,80.207221,45,Available,Standard
EV-095,Utility Vehicle,Z05,13.0157,80.193604,6,Assigned,Standard
EV-096,Utility Vehicle,Z01,13.103424,80.279995,6,Moving,Standard
EV-097,Van,Z02,13.079783,80.254781,12,Moving,Standard
EV-098,City Bus,Z03,12.984863,80.23715,45,Maintenance,Flood-capable
EV-099,City Bus,Z04,12.996309,80.224609,45,Moving,Standard
EV-100,Van,Z05,13.019537,80.170967,12,Available,Standard
EV-101,City Bus,Z01,13.092537,80.299193,45,Available,Standard
EV-102,City Bus,Z02,13.103159,80.264351,45,Available,Standard
