fuel_id,name,zone_id,latitude,longitude,storage_capacity_litres,current_stock_litres,status
FUEL-001,Emergency Fuel Point 001,Z01,13.112246,80.293924,14503,7181,Open
FUEL-002,Emergency Fuel Point 002,Z02,13.070914,80.261536,17874,12787,Open
FUEL-003,Emergency Fuel Point 003,Z03,13.009766,80.236145,25044,21415,Open
FUEL-004,Emergency Fuel Point 004,Z04,12.967873,80.195895,26124,16223,Closed
FUEL-005,Emergency Fuel Point 005,Z05,13.019074,80.165842,16612,11889,Low Stock
FUEL-006,Emergency Fuel Point 006,Z01,13.13531,80.264137,15806,14406,Low Stock
FUEL-007,Emergency Fuel Point 007,Z02,13.090146,80.273128,23721,16120,Low Stock
FUEL-008,Emergency Fuel Point 008,Z03,12.994392,80.25772,15983,5787,Open
FUEL-009,Emergency Fuel Point 009,Z04,12.986327,80.226651,22324,16211,Priority Emergency
FUEL-010,Emergency Fuel Point 010,Z05,13.017908,80.164104,8715,7661,Open
FUEL-011,Emergency Fuel Point 011,Z01,13.124142,80.278303,24412,12400,Priority Emergency
FUEL-012,Emergency Fuel Point 012,Z02,13.108479,80.261527,24269,11522,Open
FUEL-013,Emergency Fuel Point 013,Z03,13.027643,80.25726,29423,13088,Low Stock
FUEL-014,Emergency Fuel Point 014,Z04,13.00257,80.217741,10612,9955,Open
FUEL-015,Emergency Fuel Point 015,Z05,13.003704,80.17518,10459,3632,Open
FUEL-016,Emergency Fuel Point 016,Z01,13.110791,80.297811,26817,17903,Open
FUEL-017,Emergency Fuel Point 017,Z02,13.076334,80.267374,10923,4353,Priority Emergency
FUEL-018,Emergency Fuel Point 018,Z03,13.007876,80.237067,25555,7215,Open
FUEL-019,Emergency Fuel Point 019,Z04,12.970537,80.215591,27358,8679,Priority Emergency
FUEL-020,Emergency Fuel Point 020,Z05,13.035795,80.175793,11478,7680,Open
FUEL-021,Emergency Fuel Point 021,Z01,13.115111,80.281744,22272,14415,Open
FUEL-022,Emergency Fuel Point 022,Z02,13.065794,80.275294,26187,9673,Open
