tower_id,zone_id,latitude,longitude,network_type,status,coverage_radius_km
TOWER-001,Z01,13.089222,80.267238,5G,Operational,4.0
TOWER-002,Z02,13.062439,80.263747,4G,Operational,5.0
TOWER-003,Z03,12.991579,80.241802,4G/5G,Operational,4.5
TOWER-004,Z04,12.985908,80.240382,4G,Operational,2.2
TOWER-005,Z05,13.026654,80.191596,4G/5G,Operational,2.5
TOWER-006,Z01,13.105304,80.277989,4G,Operational,3.1
TOWER-007,Z02,13.067108,80.250561,5G,Operational,5.2
TOWER-008,Z03,13.007091,80.236778,4G,Operational,5.7
TOWER-009,Z04,12.992994,80.211248,5G,Operational,5.4
TOWER-010,Z05,13.012779,80.192365,4G,Operational,1.7
TOWER-011,Z01,13.116854,80.298464,5G,Operational,5.6
TOWER-012,Z02,13.066543,80.298213,5G,Operational,1.9
TOWER-013,Z03,13.010014,80.260274,4G,Operational,4.3
TOWER-014,Z04,12.987866,80.198977,4G/5G,Operational,5.8
TOWER-015,Z05,13.020215,80.193059,5G,Operational,3.5
TOWER-016,Z01,13.139485,80.278289,4G/5G,Operational,4.0
TOWER-017,Z02,13.07859,80.256799,4G,Degraded,4.0
TOWER-018,Z03,13.010415,80.24282,4G/5G,Operational,3.4
TOWER-019,Z04,12.984125,80.23109,5G,Operational,3.2
TOWER-020,Z05,13.037992,80.174465,5G,Degraded,2.7
TOWER-021,Z01,13.108627,80.274305,4G,Operational,5.6
TOWER-022,Z02,13.071287,80.291944,4G,Operational,5.4
TOWER-023,Z03,13.013373,80.231932,4G,Degraded,2.2
TOWER-024,Z04,12.970037,80.216216,4G/5G,Operational,2.5
TOWER-025,Z05,12.99908,80.186534,4G/5G,Operational,2.6
TOWER-026,Z01,13.101475,80.283549,4G,Operational,4.1
TOWER-027,Z02,13.069608,80.270215,4G,Operational,2.4
TOWER-028,Z03,13.01316,80.232681,4G/5G,Operational,5.5
TOWER-029,Z04,12.971315,80.232635,5G,Operational,5.6
TOWER-030,Z05,13.022377,80.185428,4G,Operational,5.7
TOWER-031,Z01,13.105316,80.281399,4G,Degraded,5.2
TOWER-032,Z02,13.072659,80.284175,4G,Operational,2.7
TOWER-033,Z03,13.007301,80.257767,4G/5G,Operational,2.2
TOWER-034,Z04,12.965203,80.219888,4G/5G,Operational,2.4
TOWER-035,Z05,13.015408,80.174021,5G,Operational,2.9
TOWER-036,Z01,13.106327,80.272429,5G,Degraded,4.5
TOWER-037,Z02,13.070286,80.285745,5G,Operational,4.9
TOWER-038,Z03,13.022633,80.270769,4G,Operational,1.5
TOWER-039,Z04,12.983259,80.213107,4G,Operational,4.4
TOWER-040,Z05,12.991623,80.159251,4G,Operational,2.1
TOWER-041,Z01,13.099108,80.299643,4G/5G,Operational,3.4
TOWER-042,Z02,13.066978,80.243615,4G,Degraded,3.6
TOWER-043,Z03,13.007605,80.236763,4G/5G,Operational,1.7
TOWER-044,Z04,12.975393,80.228212,4G/5G,Offline,3.9
TOWER-045,Z05,13.006644,80.167891,4G/5G,Degraded,5.0
TOWER-046,Z01,13.133488,80.283029,5G,Operational,1.9
TOWER-047,Z02,13.068035,80.25611,4G,Operational,4.8
TOWER-048,Z03,13.015098,80.266709,5G,Offline,1.7
TOWER-049,Z04,12.966518,80.228246,4G,Operational,3.5
TOWER-050,Z05,13.023109,80.190247,4G/5G,Operational,3.4
TOWER-051,Z01,13.124357,80.282355,4G,Operational,4.3
TOWER-052,Z02,13.086757,80.266403,4G,Operational,4.6
TOWER-053,Z03,12.987056,80.248889,5G,Operational,4.1
TOWER-054,Z04,13.001207,80.251241,4G,Operational,5.5
TOWER-055,Z05,13.016707,80.181114,4G,Operational,3.3
TOWER-056,Z01,13.107139,80.279423,4G,Operational,4.8
TOWER-057,Z02,13.094249,80.301061,4G/5G,Degraded,5.5
TOWER-058,Z03,12.999902,80.250212,4G,Offline,4.6
TOWER-059,Z04,12.986884,80.235634,4G,Degraded,2.2
TOWER-060,Z05,13.018229,80.173925,4G,Degraded,5.7
TOWER-061,Z01,13.131704,80.297736,4G/5G,Operational,4.8
TOWER-062,Z02,13.077624,80.29444,4G,Operational,1.9
TOWER-063,Z03,13.001617,80.259719,4G/5G,Operational,2.2
TOWER-064,Z04,12.972041,80.20796,4G,Operational,4.5
TOWER-065,Z05,13.024444,80.195583,4G,Operational,2.5
TOWER-066,Z01,13.122425,80.289533,5G,Operational,1.5
TOWER-067,Z02,13.077696,80.288491,4G/5G,Operational,3.6
TOWER-068,Z03,13.014108,80.242131,4G,Operational,1.7
TOWER-069,Z04,13.002458,80.21008,4G/5G,Operational,2.1
TOWER-070,Z05,13.028225,80.179688,5G,Operational,5.4
TOWER-071,Z01,13.11761,80.28,4G/5G,Operational,3.5
TOWER-072,Z02,13.088566,80.284649,4G/5G,Operational,3.8
TOWER-073,Z03,12.994414,80.261969,4G/5G,Degraded,5.9
TOWER-074,Z04,12.977247,80.222752,5G,Operational,2.0
TOWER-075,Z05,13.005199,80.189632,4G/5G,Degraded,4.7
TOWER-076,Z01,13.118446,80.289787,4G,Operational,5.0
TOWER-077,Z02,13.093116,80.266481,4G,Operational,4.7
TOWER-078,Z03,13.015838,80.235737,5G,Operational,2.5
TOWER-079,Z04,12.982794,80.220883,4G,Operational,4.3
TOWER-080,Z05,13.016913,80.187135,4G,Operational,3.6
TOWER-081,Z01,13.134209,80.287632,4G,Operational,1.9
TOWER-082,Z02,13.062771,80.274647,4G,Operational,2.4
TOWER-083,Z03,13.013753,80.265775,5G,Operational,5.0
TOWER-084,Z04,12.986151,80.222486,4G/5G,Operational,2.1
TOWER-085,Z05,13.026267,80.177909,4G,Operational,3.3
TOWER-086,Z01,13.097305,80.309986,4G,Operational,5.7
TOWER-087,Z02,13.073069,80.283409,4G,Operational,3.5
TOWER-088,Z03,13.019693,80.241034,4G,Operational,4.6
TOWER-089,Z04,12.97627,80.229554,4G,Operational,5.0
TOWER-090,Z05,13.019233,80.188706,4G/5G,Operational,5.6
TOWER-091,Z01,13.118983,80.28609,4G,Operational,5.6
TOWER-092,Z02,13.092509,80.253158,4G,Operational,5.8
TOWER-093,Z03,13.02054,80.243841,5G,Operational,4.6
TOWER-094,Z04,12.989654,80.230788,4G,Operational,3.5
TOWER-095,Z05,13.014072,80.213582,4G,Operational,4.8
TOWER-096,Z01,13.125439,80.281578,5G,Operational,2.7
TOWER-097,Z02,13.095275,80.286168,4G/5G,Operational,5.4
TOWER-098,Z03,13.022436,80.254593,4G/5G,Operational,4.0
TOWER-099,Z04,12.963282,80.224423,4G,Operational,4.6
TOWER-100,Z05,13.019214,80.178667,4G,Operational,5.1
TOWER-101,Z01,13.142994,80.30171,4G,Operational,3.6
TOWER-102,Z02,13.079103,80.282878,5G,Operational,3.8
TOWER-103,Z03,13.013443,80.266972,4G,Offline,5.0
TOWER-104,Z04,12.976457,80.215374,4G/5G,Operational,1.9
TOWER-105,Z05,13.025806,80.213719,4G,Operational,4.0
