power_id,name,zone_id,latitude,longitude,capacity_mw,status,outage_risk
POWER-001,Power Substation 001,Z01,13.115466,80.280229,49,Normal,0.15
POWER-002,Power Substation 002,Z02,13.082907,80.266734,63,Normal,0.08
POWER-003,Power Substation 003,Z03,13.021055,80.24703,42,Normal,0.2
POWER-004,Power Substation 004,Z04,12.987684,80.2351,14,Normal,0.16
POWER-005,Power Substation 005,Z05,13.026441,80.162849,77,Normal,0.27
POWER-006,Power Substation 006,Z01,13.118762,80.286726,34,At Risk,0.15
POWER-007,Power Substation 007,Z02,13.084644,80.272986,31,Normal,0.13
POWER-008,Power Substation 008,Z03,12.989574,80.256079,22,At Risk,0.13
POWER-009,Power Substation 009,Z04,12.981196,80.228947,59,Normal,0.21
POWER-010,Power Substation 010,Z05,13.011399,80.164947,46,Normal,0.11
POWER-011,Power Substation 011,Z01,13.138145,80.294223,19,Normal,0.1
POWER-012,Power Substation 012,Z02,13.09754,80.283176,25,At Risk,0.23
POWER-013,Power Substation 013,Z03,12.988106,80.284115,23,At Risk,0.25
POWER-014,Power Substation 014,Z04,12.975042,80.23387,54,At Risk,0.14
POWER-015,Power Substation 015,Z05,13.03519,80.178387,72,Normal,0.08
POWER-016,Power Substation 016,Z01,13.113077,80.26559,30,Normal,0.21
POWER-017,Power Substation 017,Z02,13.076704,80.300808,43,Normal,0.26
POWER-018,Power Substation 018,Z03,13.012311,80.258345,32,Normal,0.08
POWER-019,Power Substation 019,Z04,12.986987,80.211048,10,Normal,0.08
POWER-020,Power Substation 020,Z05,13.012834,80.173538,19,Normal,0.11
POWER-021,Power Substation 021,Z01,13.123722,80.281745,33,Normal,0.05
POWER-022,Power Substation 022,Z02,13.06555,80.285157,32,Normal,0.18
POWER-023,Power Substation 023,Z03,12.992118,80.266251,42,Partial Outage,0.06
POWER-024,Power Substation 024,Z04,12.994937,80.24505,47,Normal,0.22
POWER-025,Power Substation 025,Z05,13.020583,80.178274,33,At Risk,0.24
POWER-026,Power Substation 026,Z01,13.123746,80.282279,8,Normal,0.11
POWER-027,Power Substation 027,Z02,13.087529,80.257406,67,Normal,0.28
POWER-028,Power Substation 028,Z03,12.995657,80.272036,37,Partial Outage,0.26
POWER-029,Power Substation 029,Z04,12.983293,80.22981,44,Normal,0.12
POWER-030,Power Substation 030,Z05,13.045404,80.185501,23,Normal,0.1
POWER-031,Power Substation 031,Z01,13.11913,80.278848,62,At Risk,0.06
POWER-032,Power Substation 032,Z02,13.078185,80.276125,32,Normal,0.11
POWER-033,Power Substation 033,Z03,13.000487,80.270201,18,Normal,0.14
POWER-034,Power Substation 034,Z04,12.981531,80.230617,19,Normal,0.14
POWER-035,Power Substation 035,Z05,13.008838,80.161871,40,Normal,0.08
POWER-036,Power Substation 036,Z01,13.114063,80.269014,48,Normal,0.15
POWER-037,Power Substation 037,Z02,13.100947,80.271501,21,Normal,0.09
POWER-038,Power Substation 038,Z03,12.994265,80.273056,77,Normal,0.2
POWER-039,Power Substation 039,Z04,12.971412,80.221094,46,Normal,0.18
POWER-040,Power Substation 040,Z05,12.998204,80.18394,23,At Risk,0.09
POWER-041,Power Substation 041,Z01,13.111987,80.29305,59,Partial Outage,0.3
POWER-042,Power Substation 042,Z02,13.074044,80.271573,36,Normal,0.28
POWER-043,Power Substation 043,Z03,13.020894,80.237564,5,Normal,0.09
POWER-044,Power Substation 044,Z04,12.989618,80.229794,40,At Risk,0.23
POWER-045,Power Substation 045,Z05,13.025238,80.193955,79,Normal,0.22
POWER-046,Power Substation 046,Z01,13.122573,80.29302,79,Normal,0.08
POWER-047,Power Substation 047,Z02,13.091679,80.27042,72,Normal,0.15
POWER-048,Power Substation 048,Z03,13.008521,80.232736,52,Normal,0.22
POWER-049,Power Substation 049,Z04,13.007754,80.197842,54,Normal,0.23
POWER-050,Power Substation 050,Z05,13.039887,80.191765,59,At Risk,0.08
