building_id,name,zone_id,latitude,longitude,capacity,building_type,availability,temporary_shelter_eligible
PUB-001,Public Building / School 001,Z01,13.122629,80.276888,627,School,Partially Available,Yes
PUB-002,Public Building / School 002,Z02,13.069672,80.280216,382,School,Available,Yes
PUB-003,Public Building / School 003,Z03,13.022501,80.243869,310,Corporation Building,Occupied,Yes
PUB-004,Public Building / School 004,Z04,12.968474,80.226584,1301,College,Partially Available,Yes
PUB-005,Public Building / School 005,Z05,13.010062,80.188546,717,Corporation Building,Available,No
PUB-006,Public Building / School 006,Z01,13.118275,80.28836,1230,School,Occupied,Yes
PUB-007,Public Building / School 007,Z02,13.066645,80.277015,1711,School,Available,Yes
PUB-008,Public Building / School 008,Z03,13.025433,80.301057,1538,Community Hall,Occupied,Yes
PUB-009,Public Building / School 009,Z04,12.984123,80.194838,819,Corporation Building,Partially Available,Yes
PUB-010,Public Building / School 010,Z05,13.029361,80.1735,1012,Corporation Building,Available,Yes
PUB-011,Public Building / School 011,Z01,13.132881,80.281133,1245,School,Available,Yes
PUB-012,Public Building / School 012,Z02,13.061719,80.271519,1287,School,Available,Yes
PUB-013,Public Building / School 013,Z03,13.01148,80.267027,302,School,Available,Yes
PUB-014,Public Building / School 014,Z04,12.989108,80.22485,1496,Community Hall,Occupied,Yes
PUB-015,Public Building / School 015,Z05,13.019324,80.186486,289,Corporation Building,Partially Available,Yes
PUB-016,Public Building / School 016,Z01,13.112176,80.291485,579,School,Occupied,Yes
PUB-017,Public Building / School 017,Z02,13.074053,80.263419,1459,College,Available,No
PUB-018,Public Building / School 018,Z03,13.01426,80.246603,1487,School,Occupied,No
PUB-019,Public Building / School 019,Z04,12.989091,80.232561,1352,Community Hall,Partially Available,Yes
PUB-020,Public Building / School 020,Z05,13.035723,80.173258,1350,Community Hall,Partially Available,Yes
PUB-021,Public Building / School 021,Z01,13.103852,80.298339,758,School,Available,Yes
PUB-022,Public Building / School 022,Z02,13.078417,80.28941,1728,School,Available,Yes
PUB-023,Public Building / School 023,Z03,13.018068,80.269482,641,School,Available,Yes
PUB-024,Public Building / School 024,Z04,12.993127,80.233691,615,School,Partially Available,Yes
PUB-025,Public Building / School 025,Z05,13.021992,80.178454,1756,Community Hall,Available,Yes
PUB-026,Public Building / School 026,Z01,13.107128,80.279451,1683,Corporation Building,Partially Available,Yes
PUB-027,Public Building / School 027,Z02,13.060708,80.2642,572,Corporation Building,Partially Available,Yes
PUB-028,Public Building / School 028,Z03,13.011342,80.252436,595,Corporation Building,Available,No
PUB-029,Public Building / School 029,Z04,12.959512,80.194413,1408,College,Available,No
PUB-030,Public Building / School 030,Z05,13.026673,80.184532,1299,College,Available,Yes
PUB-031,Public Building / School 031,Z01,13.119092,80.30334,1248,College,Available,No
PUB-032,Public Building / School 032,Z02,13.059693,80.286318,1231,College,Available,Yes
PUB-033,Public Building / School 033,Z03,12.996778,80.273329,1315,School,Available,No
PUB-034,Public Building / School 034,Z04,12.99813,80.18773,775,Community Hall,Occupied,No
PUB-035,Public Building / School 035,Z05,13.023455,80.190423,1140,School,Available,Yes
PUB-036,Public Building / School 036,Z01,13.133377,80.281739,650,School,Available,No
PUB-037,Public Building / School 037,Z02,13.070133,80.256595,1168,College,Partially Available,Yes
PUB-038,Public Building / School 038,Z03,12.995787,80.251473,1765,School,Occupied,Yes
PUB-039,Public Building / School 039,Z04,12.998857,80.215439,298,College,Available,Yes
PUB-040,Public Building / School 040,Z05,13.010775,80.201806,646,College,Partially Available,Yes
PUB-041,Public Building / School 041,Z01,13.117424,80.265268,687,College,Available,Yes
PUB-042,Public Building / School 042,Z02,13.087111,80.276216,962,Community Hall,Available,Yes
PUB-043,Public Building / School 043,Z03,12.9902,80.265931,433,School,Available,Yes
PUB-044,Public Building / School 044,Z04,12.9758,80.204404,1555,School,Available,Yes
PUB-045,Public Building / School 045,Z05,13.043585,80.185447,993,Corporation Building,Available,Yes
PUB-046,Public Building / School 046,Z01,13.136328,80.292495,1798,College,Partially Available,Yes
PUB-047,Public Building / School 047,Z02,13.070509,80.281121,555,School,Occupied,Yes
PUB-048,Public Building / School 048,Z03,12.986579,80.266716,1225,School,Available,Yes
PUB-049,Public Building / School 049,Z04,12.996151,80.201086,497,College,Available,Yes
PUB-050,Public Building / School 050,Z05,13.016858,80.154387,391,College,Available,No
PUB-051,Public Building / School 051,Z01,13.151058,80.26832,841,School,Available,Yes
PUB-052,Public Building / School 052,Z02,13.088747,80.279288,260,Corporation Building,Available,Yes
PUB-053,Public Building / School 053,Z03,13.035728,80.253349,1227,School,Available,Yes
PUB-054,Public Building / School 054,Z04,12.984054,80.217717,811,College,Available,Yes
PUB-055,Public Building / School 055,Z05,13.011279,80.155617,735,School,Available,Yes
PUB-056,Public Building / School 056,Z01,13.108728,80.277193,347,School,Occupied,Yes
PUB-057,Public Building / School 057,Z02,13.079648,80.265674,1396,School,Available,Yes
PUB-058,Public Building / School 058,Z03,13.03251,80.265264,784,School,Partially Available,No
PUB-059,Public Building / School 059,Z04,12.986922,80.207579,1289,Corporation Building,Occupied,Yes
PUB-060,Public Building / School 060,Z05,13.038481,80.196916,1668,College,Available,No
PUB-061,Public Building / School 061,Z01,13.127663,80.281701,1183,Community Hall,Available,Yes
PUB-062,Public Building / School 062,Z02,13.074658,80.255229,661,School,Available,Yes
PUB-063,Public Building / School 063,Z03,12.997365,80.263691,827,Corporation Building,Partially Available,Yes
PUB-064,Public Building / School 064,Z04,13.002209,80.218063,681,Community Hall,Occupied,No
PUB-065,Public Building / School 065,Z05,12.997824,80.184159,1326,School,Partially Available,Yes
PUB-066,Public Building / School 066,Z01,13.106746,80.278445,429,Corporation Building,Occupied,Yes
PUB-067,Public Building / School 067,Z02,13.08501,80.291221,519,Community Hall,Available,Yes
PUB-068,Public Building / School 068,Z03,12.998047,80.256889,762,College,Occupied,Yes
PUB-069,Public Building / School 069,Z04,12.997764,80.213016,734,School,Partially Available,Yes
PUB-070,Public Building / School 070,Z05,13.031044,80.173544,856,Corporation Building,Occupied,Yes
PUB-071,Public Building / School 071,Z01,13.120586,80.298766,808,School,Available,Yes
PUB-072,Public Building / School 072,Z02,13.065309,80.287994,215,School,Occupied,Yes
PUB-073,Public Building / School 073,Z03,12.998437,80.28776,998,College,Occupied,Yes
PUB-074,Public Building / School 074,Z04,12.991557,80.219827,1335,School,Available,Yes
PUB-075,Public Building / School 075,Z05,13.011121,80.157248,528,School,Available,Yes
PUB-076,Public Building / School 076,Z01,13.126973,80.315349,1165,School,Available,Yes
PUB-077,Public Building / School 077,Z02,13.084686,80.246226,227,Community Hall,Available,Yes
PUB-078,Public Building / School 078,Z03,12.999868,80.236717,507,School,Available,Yes
PUB-079,Public Building / School 079,Z04,12.98941,80.214315,1404,School,Available,Yes
PUB-080,Public Building / School 080,Z05,13.020027,80.191522,1192,Corporation Building,Available,Yes
PUB-081,Public Building / School 081,Z01,13.117805,80.275914,1608,School,Occupied,Yes
PUB-082,Public Building / School 082,Z02,13.05306,80.276884,351,School,Available,Yes
PUB-083,Public Building / School 083,Z03,13.003015,80.254475,1266,School,Partially Available,Yes
PUB-084,Public Building / School 084,Z04,12.987834,80.206798,746,Corporation Building,Available,Yes
